n_L0s_per_L1,n_children_per_L0,n_children_L1,real_rank_mean,real_rank_sem,n_overlap_mean,n_overlap_sem,total_kids_measured
1,1,1,8.5,1.52206000757745,2.0,0.2581988897471611,1
1,2,2,7.3,1.7065234314893605,3.0,0.2581988897471611,2
1,3,3,5.3,1.2476644848141931,2.3,0.2603416558635551,3
1,4,4,7.2,1.8366636418607882,3.2,0.24944382578492943,4
1,5,5,7.0,1.5491933384829666,2.7,0.42295258468165065,5
1,6,6,7.7,1.3666666666666667,2.9,0.3144660377352201,6
1,7,7,6.9,1.46401275039985,2.9,0.348010216963685,7
1,8,8,4.3,1.1357816691600546,3.1,0.2333333333333333,8
1,9,9,8.8,1.133333333333333,2.9,0.27688746209726917,9
1,10,10,6.4,1.9955506062794355,2.9,0.348010216963685,10
1,11,11,5.9,1.6829207415152452,3.1,0.2333333333333333,11
1,12,12,3.4,0.9568466729604882,2.9,0.2333333333333333,12
1,13,13,5.2,1.4047538337136984,2.9,0.37859388972001823,13
1,14,14,5.6,1.8390818965511628,3.3,0.3,14
1,15,15,5.4,1.367885635245546,3.7,0.3,15
1,16,16,7.4,1.3840359661351127,3.2,0.24944382578492943,16
1,17,17,4.1,1.345362404707371,3.1,0.1795054935711501,17
1,18,18,5.4,1.0456258094238746,3.6,0.45215533220835125,18
1,19,19,5.5,0.8595864638818418,3.0,0.2981423969999719,19
1,20,20,5.9,1.2600705447623866,2.8,0.19999999999999998,20
2,1,1,4.4,0.9910712498212337,2.7,0.36666666666666664,2
2,2,2,8.0,1.8856180831641267,2.7,0.334995854037363,4
2,3,3,5.8,1.4666666666666666,2.4,0.26666666666666666,6
2,4,4,7.1,1.911660127858622,3.8,0.29059326290271154,8
2,5,5,7.7,1.505914266410202,2.7,0.2603416558635551,10
2,6,6,6.4,1.2578641509408806,2.8,0.38873012632302,12
2,7,7,4.5,1.2671051872498806,3.6,0.339934634239519,14
2,8,8,4.3,0.5972157622389639,3.4,0.22110831935702666,16
2,9,9,6.8,1.6519348924485155,3.1,0.27688746209726917,18
2,10,10,7.0,1.9607254893136987,3.2,0.32659863237109044,20
3,1,1,7.5,1.586400537905439,3.0,0.2581988897471611,3
3,2,2,7.8,1.3968217893171306,2.5,0.47726070210921173,6
3,3,3,6.8,1.3564659966250536,2.9,0.27688746209726917,9
3,4,4,8.4,1.39204086785474,3.2,0.19999999999999998,12
3,5,5,6.2,1.6786237749352226,3.1,0.348010216963685,15
3,6,6,3.6,0.7483314773547882,3.4,0.26666666666666666,18
4,1,1,5.8,1.3482498944104453,3.2,0.19999999999999998,4
4,2,2,4.4,1.54344492037203,3.0,0.2981423969999719,8
4,3,3,7.5,1.5147423690002348,2.8,0.24944382578492943,12
4,4,4,4.7,1.238726945070803,3.0,0.3651483716701107,16
4,5,5,9.8,1.4666666666666666,3.3,0.3958114029012639,20
5,1,1,7.3,1.7065234314893603,3.1,0.27688746209726917,5
5,2,2,8.2,1.4892205269125784,2.6,0.26666666666666666,10
5,3,3,5.9,1.4019827229875395,3.2,0.38873012632302,15
5,4,4,6.7,1.4379769740081993,2.9,0.43333333333333335,20
6,1,1,7.6,2.023198787399136,2.8,0.4666666666666666,6
6,2,2,6.4,1.5930404193798025,3.6,0.22110831935702666,12
6,3,3,6.9,1.7978382080215733,3.1,0.37859388972001823,18
7,1,1,4.4,1.0349449797506682,3.3,0.36666666666666664,7
7,2,2,6.2,1.9877402021167432,3.0,0.3944053188733077,14
8,1,1,6.2,1.3232955494186138,2.4,0.26666666666666666,8
8,2,2,5.2,1.4590712418826193,2.4,0.26666666666666666,16
9,1,1,4.6,1.1850925889754118,3.2,0.32659863237109044,9
9,2,2,6.6,1.9102065042525869,2.7,0.3,18
10,1,1,7.1,1.394034911088432,2.4,0.33993463423951903,10
10,2,2,6.4,1.7900962109463403,2.9,0.348010216963685,20
11,1,1,4.7,1.6196707484341788,2.6,0.22110831935702666,11
12,1,1,6.1,1.5807874268505837,3.6,0.22110831935702666,12
13,1,1,7.1,1.5162087220725546,2.9,0.37859388972001823,13
14,1,1,5.6,1.367885635245546,2.8,0.32659863237109044,14
15,1,1,4.7,1.2023125864580955,2.7,0.2603416558635551,15
16,1,1,7.0,1.5986105077709063,3.1,0.4333333333333333,16
17,1,1,6.6,0.8969082698049139,2.7,0.3,17
18,1,1,6.6,0.6359594676112971,3.0,0.3333333333333333,18
19,1,1,5.6,1.0456258094238746,3.1,0.31446603773522014,19
20,1,1,7.4,1.557776192739723,3.2,0.3590109871423003,20
