n_L0s_per_L1,n_children_per_L0,n_children_L1,real_rank_mean,real_rank_sem,n_overlap_mean,n_overlap_sem,total_kids_measured
1,1,1,8.5,1.52206000757745,2.0,0.2581988897471611,1
1,2,2,6.3,1.5567059238447487,3.1,0.2768874620972691,2
1,3,3,5.6,1.2220201853215573,2.4,0.26666666666666666,3
1,4,4,5.5,1.194896555262328,3.2,0.24944382578492943,4
1,5,5,5.4,1.1850925889754118,2.8,0.44221663871405326,5
1,6,6,7.7,1.3666666666666667,2.9,0.3144660377352201,6
1,7,7,7.9,1.649579070887816,2.8,0.24944382578492943,7
1,8,8,5.2,1.3808210118138653,3.1,0.2333333333333333,8
1,9,9,8.5,1.249444320932754,2.5,0.30731814857642953,9
1,10,10,6.1,2.057236549894596,2.8,0.29059326290271154,10
1,11,11,5.1,1.4410644214144859,3.4,0.3711842908553348,11
1,12,12,3.3,0.8698658900466593,3.0,0.21081851067789192,12
1,13,13,6.1,1.608657134935154,2.8,0.3590109871423003,13
1,14,14,5.6,1.713994684290992,3.6,0.33993463423951903,14
1,15,15,3.7,0.6839428176227731,3.5,0.26874192494328497,15
1,16,16,7.4,1.7074997966487597,3.1,0.2333333333333333,16
1,17,17,4.0,1.164283279771532,3.2,0.19999999999999998,17
1,18,18,4.6,1.1175369742826806,3.6,0.42687494916218993,18
1,19,19,6.1,1.1,2.9,0.40688518719112343,19
1,20,20,5.0,1.4907119849998598,2.9,0.458257569495584,20
2,1,1,4.4,0.9910712498212337,2.7,0.36666666666666664,2
2,2,2,7.5,1.9507833184532708,2.5,0.40138648595974313,4
2,3,3,6.2,1.3727506854649334,2.4,0.26666666666666666,6
2,4,4,5.6,1.9275776393067945,4.1,0.1795054935711501,8
2,5,5,7.4,1.4922019523732928,2.7,0.2603416558635551,10
2,6,6,7.3,1.2565384549980507,2.7,0.5174724898753341,12
2,7,7,4.1,1.3119112436102949,3.5,0.22360679774997896,14
2,8,8,4.2,0.8406346808612327,3.2,0.3590109871423003,16
2,9,9,6.0,1.6733200530681511,3.4,0.26666666666666666,18
2,10,10,8.2,1.730767331432956,3.4,0.30550504633038933,20
3,1,1,7.5,1.586400537905439,3.1,0.27688746209726917,3
3,2,2,7.8,1.3968217893171306,2.5,0.47726070210921173,6
3,3,3,6.2,0.9637888196533972,2.9,0.27688746209726917,9
3,4,4,7.4,1.5289793254906285,2.9,0.27688746209726917,12
3,5,5,6.0,1.5420044674960502,3.1,0.348010216963685,15
3,6,6,4.3,0.5587684871413403,3.6,0.26666666666666666,18
4,1,1,6.0,1.3662601021279466,3.2,0.19999999999999998,4
4,2,2,4.4,1.54344492037203,3.0,0.2981423969999719,8
4,3,3,6.4,1.469693845669907,2.9,0.27688746209726917,12
4,4,4,3.9,1.2242911781471304,3.3,0.36666666666666664,16
4,5,5,9.6,1.367885635245546,3.2,0.41633319989322654,20
5,1,1,7.3,1.7065234314893603,3.1,0.27688746209726917,5
5,2,2,8.1,1.4866068747318504,2.6,0.26666666666666666,10
5,3,3,5.9,1.4019827229875395,3.0,0.3333333333333333,15
5,4,4,6.4,1.4772346537440226,2.7,0.334995854037363,20
6,1,1,7.6,2.023198787399136,2.8,0.4666666666666666,6
6,2,2,6.4,1.5930404193798025,3.5,0.22360679774997896,12
6,3,3,6.9,1.785434898778944,2.7,0.36666666666666664,18
7,1,1,5.7,1.2653501930734867,3.4,0.30550504633038933,7
7,2,2,6.2,1.9877402021167432,3.1,0.40688518719112343,14
8,1,1,6.2,1.3232955494186138,2.5,0.22360679774997896,8
8,2,2,5.1,1.369914839202301,2.5,0.26874192494328497,16
9,1,1,4.6,1.1850925889754118,3.1,0.348010216963685,9
9,2,2,6.9,1.649579070887816,2.6,0.26666666666666666,18
10,1,1,6.2,1.4742229591663987,2.4,0.33993463423951903,10
10,2,2,6.4,1.8208667044996885,2.9,0.37859388972001823,20
11,1,1,5.0,1.6532795690182993,2.6,0.22110831935702666,11
12,1,1,6.1,1.5807874268505837,3.6,0.22110831935702666,12
13,1,1,5.8,1.5902480589168746,2.9,0.458257569495584,13
14,1,1,5.7,1.5132745950421556,2.6,0.22110831935702666,14
15,1,1,4.7,1.2023125864580955,2.7,0.2603416558635551,15
16,1,1,6.9,1.6017351702311948,2.9,0.4818944098266987,16
17,1,1,5.4,0.7916228058025278,2.8,0.29059326290271154,17
18,1,1,6.4,0.6531972647421808,3.0,0.3333333333333333,18
19,1,1,5.6,1.0456258094238746,3.1,0.31446603773522014,19
20,1,1,8.7,2.011356645539412,3.2,0.3590109871423003,20
