Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,20%,15,1,15C x 1K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,60.0,61.0,49.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,20%,15,1,15C x 1K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,61.0,60.0,51.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,20%,8,2,8C x 2K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,57.99999999999999,56.99999999999999,44.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,20%,8,2,8C x 2K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,56.99999999999999,57.99999999999999,49.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,50.0,56.00000000000001,48.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,55.00000000000001,56.00000000000001,55.00000000000001,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,54.0,57.99999999999999,44.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,56.00000000000001,57.99999999999999,56.00000000000001,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,63.0,61.0,44.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,63.0,62.0,50.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,57.99999999999999,56.99999999999999,42.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,62.0,60.0,53.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,40%,15,2,15C x 2K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,71.0,74.0,56.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,40%,15,2,15C x 2K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,75.0,76.0,64.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,72.0,74.0,53.0,1_Good_L0_Good_L1,0.0
