Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_MAE_Std,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_MAE_Std,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_MAE_Std,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,3,15,3C x 15K,10%,1,4,1C x 4K,30.0,0.0,0.0,0.0,71.11111111111111,0.0,0.0,0.0,30.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,3,15,3C x 15K,10%,2,2,2C x 2K,33.33333333333333,0.0,0.0,0.0,71.11111111111111,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,3,15,3C x 15K,20%,1,9,1C x 9K,40.0,0.0,0.0,0.0,71.11111111111111,0.0,0.0,0.0,40.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,3,15,3C x 15K,20%,3,3,3C x 3K,46.666666666666664,0.0,0.0,0.0,71.11111111111111,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,3,15,3C x 15K,30%,1,14,1C x 14K,40.0,0.0,0.0,0.0,71.11111111111111,0.0,0.0,0.0,40.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,3,15,3C x 15K,30%,2,7,2C x 7K,30.0,0.0,0.0,0.0,71.11111111111111,0.0,0.0,0.0,30.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,3,15,3C x 15K,40%,1,15,1C x 15K,43.333333333333336,0.0,0.0,0.0,71.11111111111111,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,3,15,3C x 15K,40%,3,6,3C x 6K,40.0,0.0,0.0,0.0,71.11111111111111,0.0,0.0,0.0,40.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,3,15,3C x 15K,50%,1,15,1C x 15K,43.333333333333336,0.0,0.0,0.0,71.11111111111111,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,3,15,3C x 15K,50%,3,7,3C x 7K,46.666666666666664,0.0,0.0,0.0,71.11111111111111,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
