Universe,Sim_ID,L1_Budget_Pct,L1_Budget_K,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_Budget_K,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_RMSE_Acc,V3_P90_Acc
Utopia,0,20%,75,25,3,25C x 3K,20%,15,15,1,15C x 1K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,56.99999999999999,56.00000000000001,52.0
Utopia,0,20%,75,25,3,25C x 3K,20%,16,8,2,8C x 2K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,54.0,56.99999999999999,48.0
Utopia,0,20%,75,25,3,25C x 3K,20%,15,5,3,5C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,52.0,51.0,48.0
Utopia,0,20%,75,25,3,25C x 3K,20%,15,5,3,5C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,56.00000000000001,56.99999999999999,48.0
Utopia,0,20%,75,25,3,25C x 3K,20%,15,5,3,5C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,54.0,52.0,49.0
Utopia,0,20%,75,25,3,25C x 3K,20%,15,5,3,5C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,55.00000000000001,52.0,47.0
Utopia,0,20%,75,25,3,25C x 3K,40%,30,15,2,15C x 2K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,60.0,57.99999999999999,54.0
Utopia,0,20%,75,25,3,25C x 3K,40%,30,10,3,10C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,57.99999999999999,59.0,49.0
Utopia,0,20%,75,25,3,25C x 3K,40%,30,10,3,10C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,59.0,56.00000000000001,50.0
Utopia,0,20%,75,25,3,25C x 3K,40%,30,10,3,10C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,61.0,56.99999999999999,53.0
Utopia,0,20%,75,25,3,25C x 3K,40%,30,10,3,10C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,57.99999999999999,56.99999999999999,56.99999999999999
Utopia,0,20%,75,25,3,25C x 3K,40%,30,10,3,10C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,61.0,59.0,51.0
Utopia,0,20%,75,25,3,25C x 3K,60%,44,22,2,22C x 2K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,62.0,60.0,55.00000000000001
Utopia,0,20%,75,25,3,25C x 3K,60%,45,15,3,15C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,64.0,61.0,63.0
Utopia,0,20%,75,25,3,25C x 3K,60%,45,15,3,15C x 3K,62.0,70.0,56.99999999999999,42.38665526090675,39.73481608212147,45.63729683490161,64.0,62.0,60.0
