Universe,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_RMSE_Acc,V3_P90_Acc
Utopia,0,20%,25,3,25C x 3K,20%,15,1,15C x 1K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,52.0,56.99999999999999,57.99999999999999
Utopia,0,20%,25,3,25C x 3K,20%,8,2,8C x 2K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,45.0,53.0,51.0
Utopia,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,52.0,55.00000000000001,49.0
Utopia,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,53.0,60.0,52.0
Utopia,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,52.0,60.0,53.0
Utopia,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,51.0,57.99999999999999,49.0
Utopia,0,20%,25,3,25C x 3K,40%,15,2,15C x 2K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,45.0,50.0,63.0
Utopia,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,50.0,56.00000000000001,63.0
Utopia,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,48.0,52.0,59.0
Utopia,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,47.0,56.99999999999999,57.99999999999999
Utopia,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,49.0,57.99999999999999,57.99999999999999
Utopia,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,56.00000000000001,57.99999999999999,63.0
Utopia,0,20%,25,3,25C x 3K,60%,22,2,22C x 2K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,51.0,59.0,68.0
Utopia,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,51.0,57.99999999999999,66.0
Utopia,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,52.0,61.0,61.0
Utopia,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,53.0,63.0,68.0
Utopia,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,56.00000000000001,60.0,69.0
Utopia,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,54.0,60.0,73.0
Utopia,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,52.0,59.0,75.0
Utopia,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,54.0,59.0,74.0
Utopia,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,56.00000000000001,61.0,71.0
Utopia,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,56.00000000000001,60.0,79.0
Utopia,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,56.00000000000001,61.0,73.0
Utopia,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,56.00000000000001,60.0,72.0
Utopia,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,53.0,59.0,82.0
Utopia,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,53.0,59.0,82.0
Utopia,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,53.0,59.0,82.0
Utopia,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,53.0,59.0,82.0
Utopia,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,53.0,59.0,82.0
Utopia,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,60.0,69.0,63.0,40.975192472198465,40.50470487596235,45.59452523524379,53.0,59.0,82.0
Utopia,0,20%,15,5,15C x 5K,20%,15,1,15C x 1K,68.0,73.0,65.0,40.67579127459367,39.73481608212147,40.80410607356715,51.0,55.00000000000001,56.00000000000001
Utopia,0,20%,15,5,15C x 5K,20%,8,2,8C x 2K,68.0,73.0,65.0,40.67579127459367,39.73481608212147,40.80410607356715,53.0,55.00000000000001,53.0
Utopia,0,20%,15,5,15C x 5K,20%,5,3,5C x 3K,68.0,73.0,65.0,40.67579127459367,39.73481608212147,40.80410607356715,50.0,51.0,53.0
Utopia,0,20%,15,5,15C x 5K,20%,4,4,4C x 4K,68.0,73.0,65.0,40.67579127459367,39.73481608212147,40.80410607356715,51.0,52.0,60.0
