Indicator,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V2_MAE_Acc,V3_MAE_Acc,Scenario
Height,10%,1,7,1C x 7K,10%,1,7,1C x 7K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,30%,1,2,1C x 2K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,30%,1,2,1C x 2K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,30%,1,2,1C x 2K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,30%,1,2,1C x 2K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,30%,1,2,1C x 2K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,30%,1,2,1C x 2K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,40%,1,2,1C x 2K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,40%,1,2,1C x 2K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,40%,1,2,1C x 2K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,40%,1,2,1C x 2K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,40%,1,2,1C x 2K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,40%,1,2,1C x 2K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,50%,1,3,1C x 3K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,50%,1,3,1C x 3K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,50%,1,3,1C x 3K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,50%,1,3,1C x 3K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,50%,1,3,1C x 3K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,50%,1,3,1C x 3K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,60%,1,4,1C x 4K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,60%,1,4,1C x 4K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,60%,1,4,1C x 4K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,60%,1,4,1C x 4K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,60%,1,4,1C x 4K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,60%,1,4,1C x 4K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,70%,1,4,1C x 4K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,70%,1,4,1C x 4K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,70%,1,4,1C x 4K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,70%,1,4,1C x 4K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,70%,1,4,1C x 4K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,70%,1,4,1C x 4K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,80%,1,5,1C x 5K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,80%,1,5,1C x 5K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,80%,1,5,1C x 5K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,80%,1,5,1C x 5K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,80%,1,5,1C x 5K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,80%,1,5,1C x 5K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,90%,1,6,1C x 6K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,90%,1,6,1C x 6K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,90%,1,6,1C x 6K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,90%,1,6,1C x 6K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,90%,1,6,1C x 6K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,90%,1,6,1C x 6K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,100%,1,7,1C x 7K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,100%,1,7,1C x 7K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,100%,1,7,1C x 7K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,100%,1,7,1C x 7K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,100%,1,7,1C x 7K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,100%,1,7,1C x 7K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,10%,1,7,1C x 7K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,20%,1,1,1C x 1K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,30%,1,2,1C x 2K,0.0,0.0,100.0,Custom_Simulation
Height,10%,1,7,1C x 7K,30%,1,2,1C x 2K,0.0,0.0,0.0,Custom_Simulation
Height,10%,1,7,1C x 7K,30%,1,2,1C x 2K,0.0,0.0,0.0,Custom_Simulation
