Indicator,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V2_MAE_Acc,V3_MAE_Acc,Scenario
Height,10%,8,2,8C x 2K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,10%,3,5,3C x 5K,N/A,0,0,N/A,100.0,100.0,0.0,Custom_Simulation
Height,10%,2,7,2C x 7K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,10%,2,10,2C x 10K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,10%,1,12,1C x 12K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,10%,1,15,1C x 15K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,20%,10,3,10C x 3K,N/A,0,0,N/A,100.0,100.0,0.0,Custom_Simulation
Height,20%,6,5,6C x 5K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,20%,4,7,4C x 7K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,20%,3,11,3C x 11K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,20%,2,13,2C x 13K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,20%,2,15,2C x 15K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,30%,9,5,9C x 5K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,30%,6,7,6C x 7K,N/A,0,0,N/A,100.0,100.0,0.0,Custom_Simulation
Height,30%,5,9,5C x 9K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,30%,4,11,4C x 11K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,30%,3,13,3C x 13K,N/A,0,0,N/A,100.0,100.0,0.0,Custom_Simulation
Height,30%,3,15,3C x 15K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
Height,40%,10,6,10C x 6K,N/A,0,0,N/A,100.0,0.0,0.0,Custom_Simulation
