Indicator,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V2_MAE_Acc,V3_MAE_Acc,Scenario
Height,10%,8,2,8C x 2K,10%,1,1,1C x 1K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,10%,1,1,1C x 1K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,10%,1,1,1C x 1K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,10%,1,1,1C x 1K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,10%,1,1,1C x 1K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,10%,1,1,1C x 1K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,20%,3,1,3C x 1K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,20%,2,2,2C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,20%,2,2,2C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,20%,2,2,2C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,20%,2,2,2C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,20%,2,2,2C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,30%,4,1,4C x 1K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,30%,2,2,2C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,30%,2,2,2C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,30%,2,2,2C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,30%,2,2,2C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,30%,2,2,2C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,40%,6,1,6C x 1K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,40%,3,2,3C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,40%,3,2,3C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,40%,3,2,3C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,40%,3,2,3C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,40%,3,2,3C x 2K,100.0,0.0,100.0,Custom_Simulation
Height,10%,8,2,8C x 2K,50%,8,1,8C x 1K,100.0,0.0,100.0,Custom_Simulation
