Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Height,0,0.1,10C_x_4K,30%,25.0
Height,0,0.1,12C_x_3K,30%,37.5
Height,0,0.1,18C_x_2K,30%,37.5
Height,0,0.1,19C_x_2K,30%,25.0
Height,0,0.1,20C_x_2K,30%,37.5
Height,0,0.1,3C_x_12K,30%,12.5
Height,0,0.1,4C_x_10K,30%,12.5
Height,0,0.1,4C_x_9K,30%,12.5
Height,0,0.1,6C_x_6K,30%,12.5
Height,0,0.1,8C_x_5K,30%,25.0
Height,0,0.2,11C_x_7K,30%,37.5
Height,0,0.2,13C_x_6K,30%,37.5
Height,0,0.2,15C_x_5K,30%,37.5
Height,0,0.2,19C_x_4K,30%,25.0
Height,0,0.2,24C_x_3K,30%,62.5
Height,0,0.2,25C_x_3K,30%,62.5
Height,0,0.2,5C_x_15K,30%,12.5
Height,0,0.2,6C_x_13K,30%,12.5
Height,0,0.2,7C_x_11K,30%,12.5
Height,0,0.2,9C_x_8K,30%,25.0
Height,0,0.3,10C_x_11K,30%,25.0
Height,0,0.3,11C_x_10K,30%,37.5
Height,0,0.3,13C_x_9K,30%,37.5
Height,0,0.3,14C_x_8K,30%,37.5
Height,0,0.3,16C_x_7K,30%,25.0
Height,0,0.3,19C_x_6K,30%,25.0
Height,0,0.3,22C_x_5K,30%,25.0
Height,0,0.3,23C_x_5K,30%,37.5
Height,0,0.3,8C_x_14K,30%,25.0
Height,0,0.3,9C_x_13K,30%,25.0
Height,0,0.4,10C_x_15K,30%,25.0
Height,0,0.4,11C_x_14K,30%,37.5
Height,0,0.4,12C_x_13K,30%,37.5
Height,0,0.4,13C_x_12K,30%,37.5
Height,0,0.4,15C_x_10K,30%,37.5
Height,0,0.4,16C_x_9K,30%,37.5
Height,0,0.4,18C_x_8K,30%,37.5
Height,0,0.4,21C_x_7K,30%,37.5
Height,0,0.4,24C_x_6K,30%,50.0
Height,0,0.4,25C_x_6K,30%,37.5
Height,0,0.5,12C_x_15K,30%,37.5
Height,0,0.5,13C_x_15K,30%,37.5
Height,0,0.5,14C_x_14K,30%,37.5
Height,0,0.5,15C_x_13K,30%,37.5
Height,0,0.5,17C_x_11K,30%,50.0
Height,0,0.5,18C_x_10K,30%,50.0
Height,0,0.5,19C_x_10K,30%,37.5
Height,0,0.5,21C_x_9K,30%,37.5
Height,0,0.5,23C_x_8K,30%,37.5
Height,0,0.5,24C_x_8K,30%,50.0
Height,0,0.6,15C_x_15K,30%,37.5
Height,0,0.6,17C_x_13K,30%,37.5
Height,0,0.6,18C_x_12K,30%,50.0
Height,0,0.6,18C_x_13K,30%,50.0
Height,0,0.6,19C_x_12K,30%,50.0
Height,0,0.6,21C_x_11K,30%,50.0
Height,0,0.6,22C_x_10K,30%,37.5
Height,0,0.6,23C_x_10K,30%,25.0
Height,0,0.6,24C_x_9K,30%,50.0
Height,0,0.6,25C_x_9K,30%,50.0
Height,0,0.7,17C_x_15K,30%,50.0
Height,0,0.7,18C_x_15K,30%,50.0
Height,0,0.7,19C_x_14K,30%,50.0
Height,0,0.7,20C_x_13K,30%,50.0
Height,0,0.7,21C_x_13K,30%,50.0
Height,0,0.7,22C_x_12K,30%,50.0
Height,0,0.7,23C_x_11K,30%,37.5
Height,0,0.7,24C_x_11K,30%,50.0
Height,0,0.7,25C_x_10K,30%,50.0
Height,0,0.7,25C_x_11K,30%,50.0
Height,0,0.8,19C_x_15K,30%,50.0
Height,0,0.8,20C_x_15K,30%,37.5
Height,0,0.8,21C_x_14K,30%,37.5
Height,0,0.8,21C_x_15K,30%,37.5
Height,0,0.8,22C_x_13K,30%,50.0
Height,0,0.8,22C_x_14K,30%,50.0
Height,0,0.8,23C_x_13K,30%,50.0
Height,0,0.8,24C_x_12K,30%,62.5
Height,0,0.8,24C_x_13K,30%,50.0
Height,0,0.8,25C_x_12K,30%,50.0
Height,0,0.9,22C_x_15K,30%,37.5
Height,0,0.9,23C_x_14K,30%,37.5
Height,0,0.9,23C_x_15K,30%,37.5
Height,0,0.9,24C_x_14K,30%,50.0
Height,0,0.9,25C_x_13K,30%,50.0
Height,0,0.9,25C_x_14K,30%,50.0
Height,0,1.0,24C_x_15K,30%,50.0
Height,0,1.0,25C_x_15K,30%,62.5
Weight,0,0.1,10C_x_4K,30%,25.0
Weight,0,0.1,12C_x_3K,30%,37.5
Weight,0,0.1,18C_x_2K,30%,50.0
Weight,0,0.1,19C_x_2K,30%,50.0
Weight,0,0.1,20C_x_2K,30%,37.5
Weight,0,0.1,3C_x_12K,30%,0.0
Weight,0,0.1,4C_x_10K,30%,0.0
Weight,0,0.1,4C_x_9K,30%,0.0
Weight,0,0.1,6C_x_6K,30%,0.0
Weight,0,0.1,8C_x_5K,30%,12.5
Weight,0,0.2,11C_x_7K,30%,25.0
Weight,0,0.2,13C_x_6K,30%,50.0
Weight,0,0.2,15C_x_5K,30%,50.0
Weight,0,0.2,19C_x_4K,30%,50.0
Weight,0,0.2,24C_x_3K,30%,25.0
Weight,0,0.2,25C_x_3K,30%,37.5
Weight,0,0.2,5C_x_15K,30%,0.0
Weight,0,0.2,6C_x_13K,30%,0.0
Weight,0,0.2,7C_x_11K,30%,12.5
Weight,0,0.2,9C_x_8K,30%,25.0
Weight,0,0.3,10C_x_11K,30%,37.5
Weight,0,0.3,11C_x_10K,30%,37.5
Weight,0,0.3,13C_x_9K,30%,50.0
Weight,0,0.3,14C_x_8K,30%,62.5
Weight,0,0.3,16C_x_7K,30%,62.5
Weight,0,0.3,19C_x_6K,30%,62.5
Weight,0,0.3,22C_x_5K,30%,62.5
Weight,0,0.3,23C_x_5K,30%,50.0
