Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Height,0,0.1,13C_x_3K,30%,39.625
Height,0,0.1,19C_x_2K,30%,41.75
Height,0,0.1,3C_x_13K,30%,12.75
Height,0,0.2,15C_x_5K,30%,43.875
Height,0,0.2,19C_x_4K,30%,47.0
Height,0,0.2,25C_x_3K,30%,48.5
Height,0,0.2,5C_x_15K,30%,18.625
Height,0,0.3,10C_x_11K,30%,38.75
Height,0,0.3,11C_x_10K,30%,41.75
Height,0,0.3,14C_x_8K,30%,45.625
Height,0,0.3,16C_x_7K,30%,48.625
Height,0,0.3,19C_x_6K,30%,50.75
Height,0,0.3,22C_x_5K,30%,53.75
Height,0,0.3,8C_x_14K,30%,30.375
Height,0,0.4,10C_x_15K,30%,39.375
Height,0,0.4,15C_x_10K,30%,50.25
Height,0,0.4,19C_x_8K,30%,53.625
Height,0,0.4,25C_x_6K,30%,55.125
Height,0,0.5,17C_x_11K,30%,55.875
Height,0,0.5,19C_x_10K,30%,55.625
Height,0,0.5,21C_x_9K,30%,58.0
Height,0,0.6,15C_x_15K,30%,53.75
Height,0,0.6,16C_x_14K,30%,55.0
Height,0,0.6,19C_x_12K,30%,57.75
Height,0,0.6,25C_x_9K,30%,63.375
Height,0,0.7,20C_x_13K,30%,61.25
Height,0,0.7,22C_x_12K,30%,62.75
Height,0,0.7,24C_x_11K,30%,63.75
Height,0,0.8,20C_x_15K,30%,62.625
Height,0,0.8,23C_x_13K,30%,65.25
Height,0,0.8,25C_x_12K,30%,66.125
Height,0,0.9,24C_x_14K,30%,68.375
Height,0,1.0,25C_x_15K,30%,71.875
Weight,0,0.1,13C_x_3K,30%,37.75
Weight,0,0.1,19C_x_2K,30%,41.75
Weight,0,0.1,3C_x_13K,30%,12.375
Weight,0,0.2,15C_x_5K,30%,43.875
Weight,0,0.2,19C_x_4K,30%,47.0
Weight,0,0.2,25C_x_3K,30%,48.5
Weight,0,0.2,5C_x_15K,30%,19.5
Weight,0,0.3,10C_x_11K,30%,37.375
Weight,0,0.3,11C_x_10K,30%,40.75
Weight,0,0.3,14C_x_8K,30%,46.125
Weight,0,0.3,16C_x_7K,30%,48.75
Weight,0,0.3,19C_x_6K,30%,51.0
Weight,0,0.3,22C_x_5K,30%,52.625
Weight,0,0.3,8C_x_14K,30%,30.125
Weight,0,0.4,10C_x_15K,30%,38.0
Weight,0,0.4,15C_x_10K,30%,48.5
Weight,0,0.4,19C_x_8K,30%,54.0
Weight,0,0.4,25C_x_6K,30%,57.625
Weight,0,0.5,17C_x_11K,30%,55.25
Weight,0,0.5,19C_x_10K,30%,54.75
Weight,0,0.5,21C_x_9K,30%,57.5
Weight,0,0.6,15C_x_15K,30%,52.125
Weight,0,0.6,16C_x_14K,30%,53.5
Weight,0,0.6,19C_x_12K,30%,58.5
Weight,0,0.6,25C_x_9K,30%,58.875
Weight,0,0.7,20C_x_13K,30%,60.125
Weight,0,0.7,22C_x_12K,30%,63.0
Weight,0,0.7,24C_x_11K,30%,64.875
Weight,0,0.8,20C_x_15K,30%,62.25
Weight,0,0.8,23C_x_13K,30%,65.25
Weight,0,0.8,25C_x_12K,30%,65.375
Weight,0,0.9,24C_x_14K,30%,67.375
Weight,0,1.0,25C_x_15K,30%,69.875
