Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Height,0,0.1,13C_x_3K,30%,38.63636363636363
Height,0,0.1,19C_x_2K,30%,29.545454545454547
Height,0,0.1,3C_x_13K,30%,7.954545454545454
Height,0,0.2,15C_x_5K,30%,37.5
Height,0,0.2,19C_x_4K,30%,38.63636363636363
Height,0,0.2,25C_x_3K,30%,44.31818181818182
Height,0,0.2,5C_x_15K,30%,13.636363636363637
Height,0,0.3,10C_x_11K,30%,32.95454545454545
Height,0,0.3,11C_x_10K,30%,35.22727272727273
Height,0,0.3,14C_x_8K,30%,32.95454545454545
Height,0,0.3,16C_x_7K,30%,36.36363636363637
Height,0,0.3,19C_x_6K,30%,42.04545454545455
Height,0,0.3,22C_x_5K,30%,38.63636363636363
Height,0,0.3,8C_x_14K,30%,25.0
Height,0,0.4,10C_x_15K,30%,32.95454545454545
Height,0,0.4,15C_x_10K,30%,46.59090909090909
Height,0,0.4,19C_x_8K,30%,42.04545454545455
Height,0,0.4,25C_x_6K,30%,42.04545454545455
Height,0,0.5,17C_x_11K,30%,43.18181818181818
Height,0,0.5,19C_x_10K,30%,45.45454545454545
Height,0,0.5,21C_x_9K,30%,45.45454545454545
Height,0,0.6,15C_x_15K,30%,45.45454545454545
Height,0,0.6,16C_x_14K,30%,43.18181818181818
Height,0,0.6,19C_x_12K,30%,47.72727272727273
Height,0,0.6,25C_x_9K,30%,45.45454545454545
Height,0,0.7,20C_x_13K,30%,48.86363636363637
Height,0,0.7,22C_x_12K,30%,48.86363636363637
Height,0,0.7,24C_x_11K,30%,43.18181818181818
Height,0,0.8,20C_x_15K,30%,47.72727272727273
Height,0,0.8,23C_x_13K,30%,47.72727272727273
Height,0,0.8,25C_x_12K,30%,52.27272727272727
Height,0,0.9,24C_x_14K,30%,53.40909090909091
Height,0,1.0,25C_x_15K,30%,55.68181818181818
Weight,0,0.1,13C_x_3K,30%,42.04545454545455
Weight,0,0.1,19C_x_2K,30%,35.22727272727273
Weight,0,0.1,3C_x_13K,30%,9.090909090909092
Weight,0,0.2,15C_x_5K,30%,35.22727272727273
Weight,0,0.2,19C_x_4K,30%,35.22727272727273
Weight,0,0.2,25C_x_3K,30%,39.77272727272727
Weight,0,0.2,5C_x_15K,30%,14.772727272727273
Weight,0,0.3,10C_x_11K,30%,32.95454545454545
Weight,0,0.3,11C_x_10K,30%,28.40909090909091
Weight,0,0.3,14C_x_8K,30%,40.90909090909091
Weight,0,0.3,16C_x_7K,30%,34.09090909090909
Weight,0,0.3,19C_x_6K,30%,27.272727272727273
Weight,0,0.3,22C_x_5K,30%,36.36363636363637
Weight,0,0.3,8C_x_14K,30%,32.95454545454545
Weight,0,0.4,10C_x_15K,30%,30.681818181818183
Weight,0,0.4,15C_x_10K,30%,32.95454545454545
Weight,0,0.4,19C_x_8K,30%,27.272727272727273
Weight,0,0.4,25C_x_6K,30%,34.09090909090909
Weight,0,0.5,17C_x_11K,30%,36.36363636363637
Weight,0,0.5,19C_x_10K,30%,29.545454545454547
Weight,0,0.5,21C_x_9K,30%,32.95454545454545
Weight,0,0.6,15C_x_15K,30%,30.681818181818183
Weight,0,0.6,16C_x_14K,30%,36.36363636363637
Weight,0,0.6,19C_x_12K,30%,30.681818181818183
Weight,0,0.6,25C_x_9K,30%,29.545454545454547
Weight,0,0.7,20C_x_13K,30%,31.818181818181817
Weight,0,0.7,22C_x_12K,30%,32.95454545454545
Weight,0,0.7,24C_x_11K,30%,31.818181818181817
Weight,0,0.8,20C_x_15K,30%,26.136363636363637
Weight,0,0.8,23C_x_13K,30%,26.136363636363637
Weight,0,0.8,25C_x_12K,30%,31.818181818181817
Weight,0,0.9,24C_x_14K,30%,31.818181818181817
Weight,0,1.0,25C_x_15K,30%,32.95454545454545
