Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Height,0,0.1,13C_x_3K,30%,31.25
Height,0,0.1,19C_x_2K,30%,43.75
Height,0,0.1,3C_x_13K,30%,12.5
Height,0,0.2,15C_x_5K,30%,50.0
Height,0,0.2,19C_x_4K,30%,43.75
Height,0,0.2,25C_x_3K,30%,68.75
Height,0,0.2,5C_x_15K,30%,18.75
Height,0,0.3,10C_x_11K,30%,37.5
Height,0,0.3,11C_x_10K,30%,37.5
Height,0,0.3,14C_x_8K,30%,37.5
Height,0,0.3,16C_x_7K,30%,37.5
Height,0,0.3,19C_x_6K,30%,37.5
Height,0,0.3,22C_x_5K,30%,50.0
Height,0,0.3,8C_x_14K,30%,37.5
Height,0,0.4,10C_x_15K,30%,31.25
Height,0,0.4,15C_x_10K,30%,43.75
Height,0,0.4,19C_x_8K,30%,43.75
Height,0,0.4,25C_x_6K,30%,37.5
Height,0,0.5,17C_x_11K,30%,37.5
Height,0,0.5,19C_x_10K,30%,37.5
Height,0,0.5,21C_x_9K,30%,50.0
Height,0,0.6,15C_x_15K,30%,37.5
Height,0,0.6,16C_x_14K,30%,37.5
Height,0,0.6,19C_x_12K,30%,31.25
Height,0,0.6,25C_x_9K,30%,56.25
Height,0,0.7,20C_x_13K,30%,31.25
Height,0,0.7,22C_x_12K,30%,31.25
Height,0,0.7,24C_x_11K,30%,25.0
Height,0,0.8,20C_x_15K,30%,43.75
Height,0,0.8,23C_x_13K,30%,31.25
Height,0,0.8,25C_x_12K,30%,37.5
Height,0,0.9,24C_x_14K,30%,43.75
Height,0,1.0,25C_x_15K,30%,43.75
Weight,0,0.1,13C_x_3K,30%,43.75
Weight,0,0.1,19C_x_2K,30%,25.0
Weight,0,0.1,3C_x_13K,30%,25.0
Weight,0,0.2,15C_x_5K,30%,37.5
Weight,0,0.2,19C_x_4K,30%,50.0
Weight,0,0.2,25C_x_3K,30%,50.0
Weight,0,0.2,5C_x_15K,30%,25.0
Weight,0,0.3,10C_x_11K,30%,50.0
Weight,0,0.3,11C_x_10K,30%,56.25
Weight,0,0.3,14C_x_8K,30%,50.0
Weight,0,0.3,16C_x_7K,30%,50.0
Weight,0,0.3,19C_x_6K,30%,37.5
Weight,0,0.3,22C_x_5K,30%,37.5
Weight,0,0.3,8C_x_14K,30%,37.5
Weight,0,0.4,10C_x_15K,30%,50.0
Weight,0,0.4,15C_x_10K,30%,68.75
Weight,0,0.4,19C_x_8K,30%,37.5
Weight,0,0.4,25C_x_6K,30%,43.75
Weight,0,0.5,17C_x_11K,30%,62.5
Weight,0,0.5,19C_x_10K,30%,56.25
Weight,0,0.5,21C_x_9K,30%,62.5
Weight,0,0.6,15C_x_15K,30%,62.5
Weight,0,0.6,16C_x_14K,30%,68.75
Weight,0,0.6,19C_x_12K,30%,56.25
Weight,0,0.6,25C_x_9K,30%,62.5
Weight,0,0.7,20C_x_13K,30%,62.5
Weight,0,0.7,22C_x_12K,30%,56.25
Weight,0,0.7,24C_x_11K,30%,62.5
Weight,0,0.8,20C_x_15K,30%,75.0
Weight,0,0.8,23C_x_13K,30%,62.5
Weight,0,0.8,25C_x_12K,30%,68.75
Weight,0,0.9,24C_x_14K,30%,75.0
Weight,0,1.0,25C_x_15K,30%,81.25
