Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Height,0,0.1,25C_x_2K,30%,43.75
Height,0,0.2,25C_x_3K,30%,53.75
Height,0,0.3,25C_x_4K,30%,60.0
Height,0,0.4,25C_x_6K,30%,60.0
Height,0,0.5,25C_x_8K,30%,71.25
Height,0,0.6,25C_x_9K,30%,71.25
Height,0,0.7,25C_x_10K,30%,75.0
Height,0,0.8,25C_x_12K,30%,87.5
Height,0,0.9,25C_x_14K,30%,96.25
Height,0,1.0,25C_x_15K,30%,100.0
Weight,0,0.1,25C_x_2K,30%,48.75
Weight,0,0.2,25C_x_3K,30%,56.25
Weight,0,0.3,25C_x_4K,30%,56.25
Weight,0,0.4,25C_x_6K,30%,65.0
Weight,0,0.5,25C_x_8K,30%,67.5
Weight,0,0.6,25C_x_9K,30%,68.75
Weight,0,0.7,25C_x_10K,30%,72.5
Weight,0,0.8,25C_x_12K,30%,80.0
Weight,0,0.9,25C_x_14K,30%,90.0
Weight,0,1.0,25C_x_15K,30%,100.0
