Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,Target_Percentile,V1_MAE_Acc,V3_MAE_Acc
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,30%,33.33333333333333,33.33333333333333
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,30%,33.33333333333333,33.33333333333333
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,30%,0.0,33.33333333333333
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,30%,0.0,66.66666666666666
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,30%,33.33333333333333,66.66666666666666
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,30%,33.33333333333333,66.66666666666666
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,30%,33.33333333333333,33.33333333333333
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,30%,33.33333333333333,33.33333333333333
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,30%,33.33333333333333,0.0
Height,0,0.1,25C_x_2K,0.3,7C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.1,25C_x_2K,0.3,8C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.1,25C_x_2K,0.4,10C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.1,25C_x_2K,0.4,19C_x_1K,30%,0.0,66.66666666666666
Height,0,0.1,25C_x_2K,0.4,20C_x_1K,30%,33.33333333333333,66.66666666666666
Height,0,0.1,25C_x_2K,0.4,21C_x_1K,30%,0.0,66.66666666666666
Height,0,0.1,25C_x_2K,0.5,12C_x_2K,30%,33.33333333333333,66.66666666666666
Height,0,0.1,25C_x_2K,0.5,13C_x_2K,30%,33.33333333333333,66.66666666666666
Height,0,0.1,25C_x_2K,0.5,24C_x_1K,30%,0.0,66.66666666666666
Height,0,0.1,25C_x_2K,0.5,25C_x_1K,30%,33.33333333333333,0.0
Height,0,0.1,25C_x_2K,0.6,15C_x_2K,30%,33.33333333333333,66.66666666666666
Height,0,0.1,25C_x_2K,0.7,17C_x_2K,30%,33.33333333333333,66.66666666666666
Height,0,0.1,25C_x_2K,0.7,18C_x_2K,30%,33.33333333333333,66.66666666666666
Height,0,0.1,25C_x_2K,0.8,20C_x_2K,30%,0.0,66.66666666666666
Height,0,0.1,25C_x_2K,0.9,22C_x_2K,30%,0.0,66.66666666666666
Height,0,0.1,25C_x_2K,0.9,23C_x_2K,30%,0.0,66.66666666666666
Height,0,0.1,25C_x_2K,1.0,25C_x_2K,30%,33.33333333333333,100.0
Height,0,0.2,25C_x_3K,0.1,3C_x_3K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.1,4C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.1,7C_x_1K,30%,66.66666666666666,33.33333333333333
Height,0,0.2,25C_x_3K,0.1,8C_x_1K,30%,66.66666666666666,33.33333333333333
Height,0,0.2,25C_x_3K,0.1,9C_x_1K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.2,14C_x_1K,30%,33.33333333333333,66.66666666666666
Height,0,0.2,25C_x_3K,0.2,15C_x_1K,30%,66.66666666666666,0.0
Height,0,0.2,25C_x_3K,0.2,16C_x_1K,30%,66.66666666666666,33.33333333333333
Height,0,0.2,25C_x_3K,0.2,5C_x_3K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.2,7C_x_2K,30%,0.0,66.66666666666666
Height,0,0.2,25C_x_3K,0.2,8C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.3,11C_x_2K,30%,0.0,66.66666666666666
Height,0,0.2,25C_x_3K,0.3,21C_x_1K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.3,22C_x_1K,30%,33.33333333333333,0.0
Height,0,0.2,25C_x_3K,0.3,23C_x_1K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.3,7C_x_3K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.4,10C_x_3K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.4,15C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.5,13C_x_3K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.5,19C_x_2K,30%,0.0,66.66666666666666
Height,0,0.2,25C_x_3K,0.6,15C_x_3K,30%,33.33333333333333,66.66666666666666
Height,0,0.2,25C_x_3K,0.6,22C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.2,25C_x_3K,0.6,23C_x_2K,30%,0.0,66.66666666666666
Height,0,0.2,25C_x_3K,0.7,17C_x_3K,30%,33.33333333333333,66.66666666666666
Height,0,0.2,25C_x_3K,0.8,20C_x_3K,30%,0.0,66.66666666666666
Height,0,0.2,25C_x_3K,0.9,23C_x_3K,30%,0.0,66.66666666666666
Height,0,0.2,25C_x_3K,1.0,25C_x_3K,30%,0.0,66.66666666666666
Height,0,0.3,25C_x_4K,0.1,10C_x_1K,30%,33.33333333333333,33.33333333333333
Height,0,0.3,25C_x_4K,0.1,11C_x_1K,30%,0.0,33.33333333333333
Height,0,0.3,25C_x_4K,0.1,3C_x_3K,30%,0.0,33.33333333333333
Height,0,0.3,25C_x_4K,0.1,5C_x_2K,30%,0.0,33.33333333333333
Height,0,0.3,25C_x_4K,0.1,9C_x_1K,30%,33.33333333333333,0.0
Height,0,0.3,25C_x_4K,0.2,10C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.3,25C_x_4K,0.2,19C_x_1K,30%,33.33333333333333,0.0
Height,0,0.3,25C_x_4K,0.2,20C_x_1K,30%,66.66666666666666,0.0
Height,0,0.3,25C_x_4K,0.2,21C_x_1K,30%,33.33333333333333,0.0
Height,0,0.3,25C_x_4K,0.2,5C_x_4K,30%,33.33333333333333,33.33333333333333
Height,0,0.3,25C_x_4K,0.2,7C_x_3K,30%,33.33333333333333,33.33333333333333
Height,0,0.3,25C_x_4K,0.3,10C_x_3K,30%,33.33333333333333,33.33333333333333
Height,0,0.3,25C_x_4K,0.3,15C_x_2K,30%,0.0,33.33333333333333
Height,0,0.3,25C_x_4K,0.4,10C_x_4K,30%,33.33333333333333,33.33333333333333
Height,0,0.3,25C_x_4K,0.4,13C_x_3K,30%,33.33333333333333,66.66666666666666
Height,0,0.3,25C_x_4K,0.4,20C_x_2K,30%,66.66666666666666,0.0
Height,0,0.3,25C_x_4K,0.5,17C_x_3K,30%,33.33333333333333,33.33333333333333
Height,0,0.3,25C_x_4K,0.5,25C_x_2K,30%,33.33333333333333,0.0
Height,0,0.3,25C_x_4K,0.6,15C_x_4K,30%,33.33333333333333,66.66666666666666
Height,0,0.3,25C_x_4K,0.6,20C_x_3K,30%,66.66666666666666,0.0
Height,0,0.3,25C_x_4K,0.7,23C_x_3K,30%,33.33333333333333,0.0
Height,0,0.3,25C_x_4K,0.8,20C_x_4K,30%,33.33333333333333,0.0
Height,0,0.3,25C_x_4K,1.0,25C_x_4K,30%,33.33333333333333,0.0
Height,0,0.4,25C_x_6K,0.1,14C_x_1K,30%,66.66666666666666,0.0
Height,0,0.4,25C_x_6K,0.1,15C_x_1K,30%,33.33333333333333,66.66666666666666
Height,0,0.4,25C_x_6K,0.1,16C_x_1K,30%,66.66666666666666,66.66666666666666
Height,0,0.4,25C_x_6K,0.1,3C_x_5K,30%,33.33333333333333,66.66666666666666
Height,0,0.4,25C_x_6K,0.1,4C_x_4K,30%,0.0,66.66666666666666
Height,0,0.4,25C_x_6K,0.1,5C_x_3K,30%,33.33333333333333,66.66666666666666
Height,0,0.4,25C_x_6K,0.1,7C_x_2K,30%,66.66666666666666,33.33333333333333
Height,0,0.4,25C_x_6K,0.1,8C_x_2K,30%,0.0,66.66666666666666
Height,0,0.4,25C_x_6K,0.2,10C_x_3K,30%,33.33333333333333,66.66666666666666
Height,0,0.4,25C_x_6K,0.2,15C_x_2K,30%,33.33333333333333,33.33333333333333
Height,0,0.4,25C_x_6K,0.2,5C_x_6K,30%,33.33333333333333,66.66666666666666
Height,0,0.4,25C_x_6K,0.2,6C_x_5K,30%,66.66666666666666,33.33333333333333
Height,0,0.4,25C_x_6K,0.3,11C_x_4K,30%,33.33333333333333,66.66666666666666
Height,0,0.4,25C_x_6K,0.3,15C_x_3K,30%,33.33333333333333,66.66666666666666
Height,0,0.4,25C_x_6K,0.3,22C_x_2K,30%,33.33333333333333,66.66666666666666
Height,0,0.4,25C_x_6K,0.3,23C_x_2K,30%,66.66666666666666,66.66666666666666
