Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Height,0,0.1,25C_x_2K,30%,37.5
Height,0,0.2,25C_x_3K,30%,62.5
Height,0,0.3,25C_x_4K,30%,62.5
Height,0,0.4,25C_x_6K,30%,50.0
Height,0,0.5,25C_x_8K,30%,62.5
Height,0,0.6,25C_x_9K,30%,62.5
Height,0,0.7,25C_x_10K,30%,50.0
Height,0,0.8,25C_x_12K,30%,50.0
Height,0,0.9,25C_x_14K,30%,62.5
Height,0,1.0,25C_x_15K,30%,62.5
Height,1,0.1,25C_x_2K,30%,50.0
Height,1,0.2,25C_x_3K,30%,75.0
Height,1,0.3,25C_x_4K,30%,62.5
Height,1,0.4,25C_x_6K,30%,62.5
Height,1,0.5,25C_x_8K,30%,50.0
Height,1,0.6,25C_x_9K,30%,62.5
Height,1,0.7,25C_x_10K,30%,75.0
Height,1,0.8,25C_x_12K,30%,75.0
Height,1,0.9,25C_x_14K,30%,62.5
Height,1,1.0,25C_x_15K,30%,62.5
Height,2,0.1,25C_x_2K,30%,62.5
Height,2,0.2,25C_x_3K,30%,50.0
Height,2,0.3,25C_x_4K,30%,50.0
Height,2,0.4,25C_x_6K,30%,62.5
Height,2,0.5,25C_x_8K,30%,50.0
Height,2,0.6,25C_x_9K,30%,50.0
Height,2,0.7,25C_x_10K,30%,50.0
Height,2,0.8,25C_x_12K,30%,75.0
Height,2,0.9,25C_x_14K,30%,62.5
Height,2,1.0,25C_x_15K,30%,62.5
Height,3,0.1,25C_x_2K,30%,50.0
Height,3,0.2,25C_x_3K,30%,37.5
Height,3,0.3,25C_x_4K,30%,37.5
Height,3,0.4,25C_x_6K,30%,62.5
Height,3,0.5,25C_x_8K,30%,62.5
Height,3,0.6,25C_x_9K,30%,75.0
Height,3,0.7,25C_x_10K,30%,62.5
Height,3,0.8,25C_x_12K,30%,62.5
Height,3,0.9,25C_x_14K,30%,62.5
Height,3,1.0,25C_x_15K,30%,62.5
Height,4,0.1,25C_x_2K,30%,50.0
Height,4,0.2,25C_x_3K,30%,62.5
Height,4,0.3,25C_x_4K,30%,50.0
Height,4,0.4,25C_x_6K,30%,50.0
Height,4,0.5,25C_x_8K,30%,62.5
Height,4,0.6,25C_x_9K,30%,62.5
Height,4,0.7,25C_x_10K,30%,50.0
Height,4,0.8,25C_x_12K,30%,37.5
Height,4,0.9,25C_x_14K,30%,50.0
Height,4,1.0,25C_x_15K,30%,62.5
Height,5,0.1,25C_x_2K,30%,37.5
Height,5,0.2,25C_x_3K,30%,50.0
Height,5,0.3,25C_x_4K,30%,50.0
Height,5,0.4,25C_x_6K,30%,62.5
Height,5,0.5,25C_x_8K,30%,62.5
Height,5,0.6,25C_x_9K,30%,75.0
Height,5,0.7,25C_x_10K,30%,75.0
Height,5,0.8,25C_x_12K,30%,62.5
Height,5,0.9,25C_x_14K,30%,62.5
Height,5,1.0,25C_x_15K,30%,62.5
Height,6,0.1,25C_x_2K,30%,37.5
Height,6,0.2,25C_x_3K,30%,62.5
Height,6,0.3,25C_x_4K,30%,37.5
Height,6,0.4,25C_x_6K,30%,50.0
Height,6,0.5,25C_x_8K,30%,37.5
Height,6,0.6,25C_x_9K,30%,50.0
Height,6,0.7,25C_x_10K,30%,50.0
Height,6,0.8,25C_x_12K,30%,62.5
Height,6,0.9,25C_x_14K,30%,62.5
Height,6,1.0,25C_x_15K,30%,62.5
Height,7,0.1,25C_x_2K,30%,25.0
Height,7,0.2,25C_x_3K,30%,25.0
Height,7,0.3,25C_x_4K,30%,25.0
Height,7,0.4,25C_x_6K,30%,62.5
Height,7,0.5,25C_x_8K,30%,50.0
Height,7,0.6,25C_x_9K,30%,62.5
Height,7,0.7,25C_x_10K,30%,62.5
Height,7,0.8,25C_x_12K,30%,62.5
Height,7,0.9,25C_x_14K,30%,62.5
Height,7,1.0,25C_x_15K,30%,62.5
Height,8,0.1,25C_x_2K,30%,62.5
Height,8,0.2,25C_x_3K,30%,50.0
Height,8,0.3,25C_x_4K,30%,50.0
Height,8,0.4,25C_x_6K,30%,50.0
Height,8,0.5,25C_x_8K,30%,37.5
Height,8,0.6,25C_x_9K,30%,50.0
Height,8,0.7,25C_x_10K,30%,50.0
Height,8,0.8,25C_x_12K,30%,75.0
Height,8,0.9,25C_x_14K,30%,62.5
Height,8,1.0,25C_x_15K,30%,62.5
Height,9,0.1,25C_x_2K,30%,37.5
Height,9,0.2,25C_x_3K,30%,37.5
Height,9,0.3,25C_x_4K,30%,25.0
Height,9,0.4,25C_x_6K,30%,25.0
Height,9,0.5,25C_x_8K,30%,50.0
Height,9,0.6,25C_x_9K,30%,50.0
Height,9,0.7,25C_x_10K,30%,50.0
