Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Height,0,0.1,25C_x_2K,10%,25.0
Height,0,0.1,25C_x_2K,100%,100.0
Height,0,0.1,25C_x_2K,20%,30.0
Height,0,0.1,25C_x_2K,30%,40.0
Height,0,0.1,25C_x_2K,40%,53.0
Height,0,0.1,25C_x_2K,50%,51.666666666666664
Height,0,0.1,25C_x_2K,60%,62.666666666666664
Height,0,0.1,25C_x_2K,70%,73.33333333333333
Height,0,0.1,25C_x_2K,80%,80.5
Height,0,0.1,25C_x_2K,90%,89.0909090909091
Height,0,0.2,25C_x_3K,10%,30.0
Height,0,0.2,25C_x_3K,100%,100.0
Height,0,0.2,25C_x_3K,20%,36.0
Height,0,0.2,25C_x_3K,30%,45.0
Height,0,0.2,25C_x_3K,40%,54.0
Height,0,0.2,25C_x_3K,50%,57.5
Height,0,0.2,25C_x_3K,60%,61.33333333333333
Height,0,0.2,25C_x_3K,70%,72.77777777777779
Height,0,0.2,25C_x_3K,80%,80.5
Height,0,0.2,25C_x_3K,90%,87.72727272727272
Height,0,0.3,25C_x_4K,10%,30.0
Height,0,0.3,25C_x_4K,100%,100.0
Height,0,0.3,25C_x_4K,20%,36.0
Height,0,0.3,25C_x_4K,30%,45.0
Height,0,0.3,25C_x_4K,40%,57.0
Height,0,0.3,25C_x_4K,50%,59.166666666666664
Height,0,0.3,25C_x_4K,60%,62.0
Height,0,0.3,25C_x_4K,70%,75.0
Height,0,0.3,25C_x_4K,80%,80.0
Height,0,0.3,25C_x_4K,90%,88.63636363636364
Height,0,0.4,25C_x_6K,10%,45.0
Height,0,0.4,25C_x_6K,100%,100.0
Height,0,0.4,25C_x_6K,20%,34.0
Height,0,0.4,25C_x_6K,30%,50.0
Height,0,0.4,25C_x_6K,40%,58.0
Height,0,0.4,25C_x_6K,50%,59.166666666666664
Height,0,0.4,25C_x_6K,60%,66.0
Height,0,0.4,25C_x_6K,70%,77.22222222222223
Height,0,0.4,25C_x_6K,80%,82.0
Height,0,0.4,25C_x_6K,90%,89.0909090909091
Height,0,0.5,25C_x_8K,10%,45.0
Height,0,0.5,25C_x_8K,100%,100.0
Height,0,0.5,25C_x_8K,20%,44.0
Height,0,0.5,25C_x_8K,30%,48.75
Height,0,0.5,25C_x_8K,40%,60.0
Height,0,0.5,25C_x_8K,50%,58.33333333333333
Height,0,0.5,25C_x_8K,60%,65.33333333333334
Height,0,0.5,25C_x_8K,70%,77.77777777777779
Height,0,0.5,25C_x_8K,80%,83.5
Height,0,0.5,25C_x_8K,90%,89.54545454545453
Height,0,0.6,25C_x_9K,10%,40.0
Height,0,0.6,25C_x_9K,100%,100.0
Height,0,0.6,25C_x_9K,20%,42.0
Height,0,0.6,25C_x_9K,30%,50.0
Height,0,0.6,25C_x_9K,40%,55.0
Height,0,0.6,25C_x_9K,50%,60.0
Height,0,0.6,25C_x_9K,60%,66.0
Height,0,0.6,25C_x_9K,70%,77.77777777777779
Height,0,0.6,25C_x_9K,80%,81.0
Height,0,0.6,25C_x_9K,90%,89.54545454545453
Height,0,0.7,25C_x_10K,10%,35.0
Height,0,0.7,25C_x_10K,100%,100.0
Height,0,0.7,25C_x_10K,20%,44.0
Height,0,0.7,25C_x_10K,30%,55.0
Height,0,0.7,25C_x_10K,40%,62.0
Height,0,0.7,25C_x_10K,50%,62.5
Height,0,0.7,25C_x_10K,60%,68.0
Height,0,0.7,25C_x_10K,70%,76.66666666666666
Height,0,0.7,25C_x_10K,80%,82.0
Height,0,0.7,25C_x_10K,90%,90.0
Height,0,0.8,25C_x_12K,10%,30.0
Height,0,0.8,25C_x_12K,100%,100.0
Height,0,0.8,25C_x_12K,20%,42.0
Height,0,0.8,25C_x_12K,30%,55.0
Height,0,0.8,25C_x_12K,40%,58.0
Height,0,0.8,25C_x_12K,50%,60.833333333333336
Height,0,0.8,25C_x_12K,60%,69.99999999999999
Height,0,0.8,25C_x_12K,70%,80.0
Height,0,0.8,25C_x_12K,80%,83.0
Height,0,0.8,25C_x_12K,90%,89.54545454545453
Height,0,0.9,25C_x_14K,10%,35.0
Height,0,0.9,25C_x_14K,100%,100.0
