Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Height,0,0.1,25C_x_2K,10%,25.0
Height,0,0.1,25C_x_2K,100%,100.0
Height,0,0.1,25C_x_2K,20%,40.0
Height,0,0.1,25C_x_2K,30%,31.25
Height,0,0.1,25C_x_2K,40%,35.0
Height,0,0.1,25C_x_2K,50%,50.0
Height,0,0.1,25C_x_2K,60%,66.66666666666666
Height,0,0.1,25C_x_2K,70%,77.77777777777777
Height,0,0.1,25C_x_2K,80%,87.5
Height,0,0.1,25C_x_2K,90%,86.36363636363636
Height,0,0.2,25C_x_3K,10%,25.0
Height,0,0.2,25C_x_3K,100%,100.0
Height,0,0.2,25C_x_3K,20%,40.0
Height,0,0.2,25C_x_3K,30%,50.0
Height,0,0.2,25C_x_3K,40%,45.0
Height,0,0.2,25C_x_3K,50%,54.16666666666667
Height,0,0.2,25C_x_3K,60%,70.0
Height,0,0.2,25C_x_3K,70%,77.77777777777779
Height,0,0.2,25C_x_3K,80%,85.0
Height,0,0.2,25C_x_3K,90%,93.18181818181819
Height,0,0.3,25C_x_4K,10%,0.0
Height,0,0.3,25C_x_4K,100%,100.0
Height,0,0.3,25C_x_4K,20%,30.0
Height,0,0.3,25C_x_4K,30%,50.0
Height,0,0.3,25C_x_4K,40%,55.0
Height,0,0.3,25C_x_4K,50%,62.5
Height,0,0.3,25C_x_4K,60%,70.0
Height,0,0.3,25C_x_4K,70%,75.0
Height,0,0.3,25C_x_4K,80%,77.5
Height,0,0.3,25C_x_4K,90%,88.63636363636363
Height,0,0.4,25C_x_6K,10%,0.0
Height,0,0.4,25C_x_6K,100%,100.0
Height,0,0.4,25C_x_6K,20%,50.0
Height,0,0.4,25C_x_6K,30%,56.25
Height,0,0.4,25C_x_6K,40%,65.0
Height,0,0.4,25C_x_6K,50%,70.83333333333333
Height,0,0.4,25C_x_6K,60%,66.66666666666666
Height,0,0.4,25C_x_6K,70%,80.55555555555557
Height,0,0.4,25C_x_6K,80%,82.5
Height,0,0.4,25C_x_6K,90%,90.9090909090909
Height,0,0.5,25C_x_8K,10%,25.0
Height,0,0.5,25C_x_8K,100%,100.0
Height,0,0.5,25C_x_8K,20%,60.0
Height,0,0.5,25C_x_8K,30%,68.75
Height,0,0.5,25C_x_8K,40%,65.0
Height,0,0.5,25C_x_8K,50%,66.66666666666666
Height,0,0.5,25C_x_8K,60%,73.33333333333333
Height,0,0.5,25C_x_8K,70%,80.55555555555554
Height,0,0.5,25C_x_8K,80%,85.0
Height,0,0.5,25C_x_8K,90%,90.9090909090909
Height,0,0.6,25C_x_9K,10%,25.0
Height,0,0.6,25C_x_9K,100%,100.0
Height,0,0.6,25C_x_9K,20%,60.0
Height,0,0.6,25C_x_9K,30%,68.75
Height,0,0.6,25C_x_9K,40%,70.0
Height,0,0.6,25C_x_9K,50%,66.66666666666666
Height,0,0.6,25C_x_9K,60%,73.33333333333333
Height,0,0.6,25C_x_9K,70%,80.55555555555557
Height,0,0.6,25C_x_9K,80%,85.0
Height,0,0.6,25C_x_9K,90%,93.18181818181819
Height,0,0.7,25C_x_10K,10%,50.0
Height,0,0.7,25C_x_10K,100%,100.0
Height,0,0.7,25C_x_10K,20%,60.0
Height,0,0.7,25C_x_10K,30%,75.0
Height,0,0.7,25C_x_10K,40%,75.0
Height,0,0.7,25C_x_10K,50%,75.0
Height,0,0.7,25C_x_10K,60%,76.66666666666666
Height,0,0.7,25C_x_10K,70%,83.33333333333334
Height,0,0.7,25C_x_10K,80%,82.5
Height,0,0.7,25C_x_10K,90%,90.9090909090909
Height,0,0.8,25C_x_12K,10%,75.0
Height,0,0.8,25C_x_12K,100%,100.0
Height,0,0.8,25C_x_12K,20%,70.0
Height,0,0.8,25C_x_12K,30%,68.75
Height,0,0.8,25C_x_12K,40%,75.0
Height,0,0.8,25C_x_12K,50%,70.83333333333333
Height,0,0.8,25C_x_12K,60%,80.0
Height,0,0.8,25C_x_12K,70%,86.11111111111111
Height,0,0.8,25C_x_12K,80%,87.5
Height,0,0.8,25C_x_12K,90%,88.63636363636363
Height,0,0.9,25C_x_14K,10%,50.0
