Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,Target_Percentile,V1_MAE_Acc,V3_MAE_Acc
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,10%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,20%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,30%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,40%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,50%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,60%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,70%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,2C_x_2K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,10%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,20%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,30%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,40%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,50%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,60%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,70%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,3C_x_2K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,10%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,20%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,30%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,40%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,50%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,60%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,70%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,4C_x_1K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,10%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,20%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,30%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,40%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,50%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,60%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,70%,0.0,0.0
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,5C_x_1K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,10%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,20%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,30%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,40%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,50%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,60%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,70%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.1,6C_x_1K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,10%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,20%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,30%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,40%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,50%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,60%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,70%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,10C_x_1K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,10%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,20%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,30%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,40%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,50%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,60%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,70%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,11C_x_1K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,10%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,20%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,30%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,40%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,50%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,60%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,70%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,5C_x_2K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,10%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,20%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,30%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,40%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,50%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,60%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,70%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.2,9C_x_1K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,10%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,20%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,30%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,40%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,50%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,60%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,70%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,14C_x_1K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,10%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,20%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,30%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,40%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,50%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,60%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,70%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,15C_x_1K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,10%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,20%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,30%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,40%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,50%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,60%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,70%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,80%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,90%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,16C_x_1K,100%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,7C_x_2K,10%,100.0,100.0
Height,0,0.1,25C_x_2K,0.3,7C_x_2K,20%,100.0,100.0
