Indicator,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,V1_MAE_Acc,V1_MAE_Std,V2_MAE_Acc,V2_MAE_Std,V3_MAE_Acc,V3_MAE_Std,L1_C,L1_K,L2_C,L2_K
Height,10%,2C x 15K,10%,1C x 3K,23.333333333333332,0.0,23.333333333333332,0.0,46.666666666666664,0.0,2,15,1,3
Height,10%,2C x 15K,10%,2C x 2K,23.333333333333332,0.0,23.333333333333332,0.0,33.33333333333333,0.0,2,15,2,2
Height,10%,2C x 15K,100%,2C x 15K,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,2,15,2,15
Height,10%,2C x 15K,20%,1C x 6K,23.333333333333332,0.0,23.333333333333332,0.0,26.666666666666668,0.0,2,15,1,6
Height,10%,2C x 15K,20%,2C x 3K,23.333333333333332,0.0,23.333333333333332,0.0,36.666666666666664,0.0,2,15,2,3
Height,10%,2C x 15K,30%,1C x 9K,23.333333333333332,0.0,23.333333333333332,0.0,20.0,0.0,2,15,1,9
Height,10%,2C x 15K,30%,2C x 4K,23.333333333333332,0.0,23.333333333333332,0.0,26.666666666666668,0.0,2,15,2,4
Height,10%,2C x 15K,40%,1C x 12K,23.333333333333332,0.0,23.333333333333332,0.0,26.666666666666668,0.0,2,15,1,12
Height,10%,2C x 15K,40%,2C x 6K,23.333333333333332,0.0,23.333333333333332,0.0,23.333333333333332,0.0,2,15,2,6
Height,10%,2C x 15K,50%,1C x 15K,23.333333333333332,0.0,23.333333333333332,0.0,20.0,0.0,2,15,1,15
Height,10%,2C x 15K,50%,2C x 7K,23.333333333333332,0.0,23.333333333333332,0.0,26.666666666666668,0.0,2,15,2,7
Height,10%,2C x 15K,60%,1C x 15K,23.333333333333332,0.0,23.333333333333332,0.0,16.666666666666664,0.0,2,15,1,15
Height,10%,2C x 15K,60%,2C x 9K,23.333333333333332,0.0,23.333333333333332,0.0,13.333333333333334,0.0,2,15,2,9
Height,10%,2C x 15K,70%,1C x 15K,23.333333333333332,0.0,23.333333333333332,0.0,33.33333333333333,0.0,2,15,1,15
Height,10%,2C x 15K,70%,2C x 10K,23.333333333333332,0.0,23.333333333333332,0.0,33.33333333333333,0.0,2,15,2,10
Height,10%,2C x 15K,80%,2C x 12K,23.333333333333332,0.0,23.333333333333332,0.0,33.33333333333333,0.0,2,15,2,12
Height,10%,2C x 15K,80%,2C x 15K,23.333333333333332,0.0,23.333333333333332,0.0,23.333333333333332,0.0,2,15,2,15
Height,10%,2C x 15K,90%,2C x 13K,23.333333333333332,0.0,23.333333333333332,0.0,20.0,0.0,2,15,2,13
Height,10%,2C x 15K,90%,2C x 15K,23.333333333333332,0.0,23.333333333333332,0.0,23.333333333333332,0.0,2,15,2,15
Height,10%,6C x 6K,10%,1C x 3K,33.33333333333333,0.0,33.33333333333333,0.0,40.0,0.0,6,6,1,3
Height,10%,6C x 6K,10%,3C x 1K,33.33333333333333,0.0,33.33333333333333,0.0,26.666666666666668,0.0,6,6,3,1
Height,10%,6C x 6K,100%,6C x 6K,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.0,6,6,6,6
Height,10%,6C x 6K,20%,1C x 6K,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,6,6,1,6
Height,10%,6C x 6K,20%,2C x 3K,33.33333333333333,0.0,33.33333333333333,0.0,43.333333333333336,0.0,6,6,2,3
Height,10%,6C x 6K,30%,2C x 6K,33.33333333333333,0.0,33.33333333333333,0.0,30.0,0.0,6,6,2,6
Height,10%,6C x 6K,30%,3C x 3K,33.33333333333333,0.0,33.33333333333333,0.0,30.0,0.0,6,6,3,3
Height,10%,6C x 6K,40%,2C x 6K,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,6,6,2,6
Height,10%,6C x 6K,40%,5C x 3K,33.33333333333333,0.0,33.33333333333333,0.0,43.333333333333336,0.0,6,6,5,3
Height,10%,6C x 6K,50%,3C x 6K,33.33333333333333,0.0,33.33333333333333,0.0,30.0,0.0,6,6,3,6
Height,10%,6C x 6K,50%,6C x 3K,33.33333333333333,0.0,33.33333333333333,0.0,36.666666666666664,0.0,6,6,6,3
Height,10%,6C x 6K,60%,4C x 6K,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,6,6,4,6
Height,10%,6C x 6K,60%,5C x 4K,33.33333333333333,0.0,33.33333333333333,0.0,30.0,0.0,6,6,5,4
Height,10%,6C x 6K,70%,4C x 6K,33.33333333333333,0.0,33.33333333333333,0.0,30.0,0.0,6,6,4,6
Height,10%,6C x 6K,70%,6C x 4K,33.33333333333333,0.0,33.33333333333333,0.0,43.333333333333336,0.0,6,6,6,4
Height,10%,6C x 6K,80%,5C x 6K,33.33333333333333,0.0,33.33333333333333,0.0,30.0,0.0,6,6,5,6
Height,10%,6C x 6K,80%,6C x 5K,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,6,6,6,5
Height,10%,6C x 6K,90%,5C x 6K,33.33333333333333,0.0,33.33333333333333,0.0,26.666666666666668,0.0,6,6,5,6
Height,10%,6C x 6K,90%,6C x 5K,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,6,6,6,5
Height,100%,25C x 15K,10%,2C x 15K,13.333333333333334,0.0,13.333333333333334,0.0,16.666666666666664,0.0,25,15,2,15
Height,100%,25C x 15K,10%,6C x 6K,13.333333333333334,0.0,13.333333333333334,0.0,23.333333333333332,0.0,25,15,6,6
Height,100%,25C x 15K,100%,25C x 15K,6.666666666666667,0.0,6.666666666666667,0.0,8.333333333333332,0.0,25,15,25,15
Height,100%,25C x 15K,20%,25C x 3K,13.333333333333334,0.0,13.333333333333334,0.0,23.333333333333332,0.0,25,15,25,3
Height,100%,25C x 15K,20%,5C x 15K,13.333333333333334,0.0,13.333333333333334,0.0,20.0,0.0,25,15,5,15
Height,100%,25C x 15K,30%,14C x 8K,13.333333333333334,0.0,13.333333333333334,0.0,23.333333333333332,0.0,25,15,14,8
Height,100%,25C x 15K,30%,7C x 15K,13.333333333333334,0.0,13.333333333333334,0.0,26.666666666666668,0.0,25,15,7,15
Height,100%,25C x 15K,40%,10C x 15K,13.333333333333334,0.0,13.333333333333334,0.0,20.0,0.0,25,15,10,15
Height,100%,25C x 15K,40%,25C x 6K,13.333333333333334,0.0,13.333333333333334,0.0,21.666666666666668,0.0,25,15,25,6
Height,100%,25C x 15K,50%,12C x 15K,13.333333333333334,0.0,13.333333333333334,0.0,20.0,0.0,25,15,12,15
Height,100%,25C x 15K,50%,19C x 10K,13.333333333333334,0.0,13.333333333333334,0.0,20.0,0.0,25,15,19,10
Height,100%,25C x 15K,60%,15C x 15K,13.333333333333334,0.0,13.333333333333334,0.0,20.0,0.0,25,15,15,15
Height,100%,25C x 15K,60%,25C x 9K,13.333333333333334,0.0,13.333333333333334,0.0,16.666666666666664,0.0,25,15,25,9
Height,100%,25C x 15K,70%,17C x 15K,13.333333333333334,0.0,13.333333333333334,0.0,23.333333333333332,0.0,25,15,17,15
Height,100%,25C x 15K,70%,22C x 12K,13.333333333333334,0.0,13.333333333333334,0.0,21.666666666666668,0.0,25,15,22,12
Height,100%,25C x 15K,80%,20C x 15K,13.333333333333334,0.0,13.333333333333334,0.0,21.666666666666668,0.0,25,15,20,15
Height,100%,25C x 15K,80%,25C x 12K,13.333333333333334,0.0,13.333333333333334,0.0,21.666666666666668,0.0,25,15,25,12
Height,100%,25C x 15K,90%,22C x 15K,13.333333333333334,0.0,13.333333333333334,0.0,23.333333333333332,0.0,25,15,22,15
Height,100%,25C x 15K,90%,24C x 14K,13.333333333333334,0.0,13.333333333333334,0.0,23.333333333333332,0.0,25,15,24,14
Height,20%,25C x 3K,10%,2C x 3K,36.666666666666664,0.0,36.666666666666664,0.0,40.0,0.0,25,3,2,3
Height,20%,25C x 3K,10%,7C x 1K,36.666666666666664,0.0,36.666666666666664,0.0,26.666666666666668,0.0,25,3,7,1
Height,20%,25C x 3K,100%,25C x 3K,18.333333333333332,0.0,18.333333333333332,0.0,18.333333333333332,0.0,25,3,25,3
Height,20%,25C x 3K,20%,15C x 1K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,25,3,15,1
Height,20%,25C x 3K,20%,5C x 3K,36.666666666666664,0.0,36.666666666666664,0.0,33.33333333333333,0.0,25,3,5,3
Height,20%,25C x 3K,30%,22C x 1K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,25,3,22,1
Height,20%,25C x 3K,30%,7C x 3K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,25,3,7,3
Height,20%,25C x 3K,40%,10C x 3K,36.666666666666664,0.0,36.666666666666664,0.0,36.666666666666664,0.0,25,3,10,3
Height,20%,25C x 3K,40%,15C x 2K,36.666666666666664,0.0,36.666666666666664,0.0,33.33333333333333,0.0,25,3,15,2
Height,20%,25C x 3K,50%,12C x 3K,36.666666666666664,0.0,36.666666666666664,0.0,36.666666666666664,0.0,25,3,12,3
Height,20%,25C x 3K,50%,18C x 2K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,25,3,18,2
Height,20%,25C x 3K,60%,15C x 3K,36.666666666666664,0.0,36.666666666666664,0.0,26.666666666666668,0.0,25,3,15,3
Height,20%,25C x 3K,60%,22C x 2K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,25,3,22,2
Height,20%,25C x 3K,70%,17C x 3K,18.333333333333332,0.0,18.333333333333332,0.0,23.333333333333332,0.0,25,3,17,3
Height,20%,25C x 3K,80%,20C x 3K,18.333333333333332,0.0,18.333333333333332,0.0,23.333333333333332,0.0,25,3,20,3
Height,20%,25C x 3K,90%,22C x 3K,18.333333333333332,0.0,18.333333333333332,0.0,20.0,0.0,25,3,22,3
Height,20%,5C x 15K,10%,1C x 7K,26.666666666666668,0.0,26.666666666666668,0.0,30.0,0.0,5,15,1,7
Height,20%,5C x 15K,10%,2C x 3K,26.666666666666668,0.0,26.666666666666668,0.0,26.666666666666668,0.0,5,15,2,3
Height,20%,5C x 15K,100%,5C x 15K,13.333333333333334,0.0,13.333333333333334,0.0,11.666666666666666,0.0,5,15,5,15
Height,20%,5C x 15K,20%,1C x 15K,26.666666666666668,0.0,26.666666666666668,0.0,30.0,0.0,5,15,1,15
Height,20%,5C x 15K,20%,5C x 3K,26.666666666666668,0.0,26.666666666666668,0.0,23.333333333333332,0.0,5,15,5,3
Height,20%,5C x 15K,30%,1C x 15K,26.666666666666668,0.0,26.666666666666668,0.0,36.666666666666664,0.0,5,15,1,15
Height,20%,5C x 15K,30%,3C x 8K,26.666666666666668,0.0,26.666666666666668,0.0,33.33333333333333,0.0,5,15,3,8
Height,20%,5C x 15K,40%,2C x 15K,26.666666666666668,0.0,26.666666666666668,0.0,26.666666666666668,0.0,5,15,2,15
Height,20%,5C x 15K,40%,5C x 6K,26.666666666666668,0.0,26.666666666666668,0.0,30.0,0.0,5,15,5,6
Height,20%,5C x 15K,50%,2C x 15K,26.666666666666668,0.0,26.666666666666668,0.0,20.0,0.0,5,15,2,15
Height,20%,5C x 15K,50%,5C x 7K,26.666666666666668,0.0,26.666666666666668,0.0,26.666666666666668,0.0,5,15,5,7
Height,20%,5C x 15K,60%,3C x 15K,26.666666666666668,0.0,26.666666666666668,0.0,30.0,0.0,5,15,3,15
Height,20%,5C x 15K,60%,5C x 9K,26.666666666666668,0.0,26.666666666666668,0.0,23.333333333333332,0.0,5,15,5,9
Height,20%,5C x 15K,70%,3C x 15K,26.666666666666668,0.0,26.666666666666668,0.0,30.0,0.0,5,15,3,15
Height,20%,5C x 15K,70%,5C x 10K,26.666666666666668,0.0,26.666666666666668,0.0,23.333333333333332,0.0,5,15,5,10
Height,20%,5C x 15K,80%,4C x 15K,26.666666666666668,0.0,26.666666666666668,0.0,30.0,0.0,5,15,4,15
Height,20%,5C x 15K,80%,5C x 12K,26.666666666666668,0.0,26.666666666666668,0.0,26.666666666666668,0.0,5,15,5,12
Height,20%,5C x 15K,90%,4C x 15K,26.666666666666668,0.0,26.666666666666668,0.0,23.333333333333332,0.0,5,15,4,15
Height,20%,5C x 15K,90%,5C x 13K,26.666666666666668,0.0,26.666666666666668,0.0,20.0,0.0,5,15,5,13
Height,30%,14C x 8K,10%,11C x 1K,36.666666666666664,0.0,36.666666666666664,0.0,23.333333333333332,0.0,14,8,11,1
Height,30%,14C x 8K,10%,1C x 8K,36.666666666666664,0.0,36.666666666666664,0.0,26.666666666666668,0.0,14,8,1,8
Height,30%,14C x 8K,100%,14C x 8K,18.333333333333332,0.0,18.333333333333332,0.0,16.666666666666664,0.0,14,8,14,8
Height,30%,14C x 8K,20%,3C x 8K,36.666666666666664,0.0,36.666666666666664,0.0,26.666666666666668,0.0,14,8,3,8
Height,30%,14C x 8K,20%,7C x 3K,36.666666666666664,0.0,36.666666666666664,0.0,36.666666666666664,0.0,14,8,7,3
Height,30%,14C x 8K,30%,4C x 8K,36.666666666666664,0.0,36.666666666666664,0.0,36.666666666666664,0.0,14,8,4,8
Height,30%,14C x 8K,30%,8C x 4K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,14,8,8,4
Height,30%,14C x 8K,40%,6C x 8K,36.666666666666664,0.0,36.666666666666664,0.0,26.666666666666668,0.0,14,8,6,8
Height,30%,14C x 8K,40%,9C x 5K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,14,8,9,5
Height,30%,14C x 8K,50%,14C x 4K,36.666666666666664,0.0,36.666666666666664,0.0,33.33333333333333,0.0,14,8,14,4
Height,30%,14C x 8K,50%,7C x 8K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,14,8,7,8
Height,30%,14C x 8K,60%,13C x 5K,36.666666666666664,0.0,36.666666666666664,0.0,26.666666666666668,0.0,14,8,13,5
Height,30%,14C x 8K,60%,8C x 8K,36.666666666666664,0.0,36.666666666666664,0.0,23.333333333333332,0.0,14,8,8,8
Height,30%,14C x 8K,70%,10C x 8K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,14,8,10,8
Height,30%,14C x 8K,70%,13C x 6K,36.666666666666664,0.0,36.666666666666664,0.0,43.333333333333336,0.0,14,8,13,6
Height,30%,14C x 8K,80%,11C x 8K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,14,8,11,8
Height,30%,14C x 8K,80%,13C x 7K,36.666666666666664,0.0,36.666666666666664,0.0,26.666666666666668,0.0,14,8,13,7
Height,30%,14C x 8K,90%,12C x 8K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,14,8,12,8
Height,30%,14C x 8K,90%,14C x 7K,36.666666666666664,0.0,36.666666666666664,0.0,33.33333333333333,0.0,14,8,14,7
Height,30%,7C x 15K,10%,1C x 10K,36.666666666666664,0.0,36.666666666666664,0.0,26.666666666666668,0.0,7,15,1,10
Height,30%,7C x 15K,10%,2C x 4K,36.666666666666664,0.0,36.666666666666664,0.0,20.0,0.0,7,15,2,4
Height,30%,7C x 15K,100%,7C x 15K,18.333333333333332,0.0,18.333333333333332,0.0,18.333333333333332,0.0,7,15,7,15
Height,30%,7C x 15K,20%,1C x 15K,36.666666666666664,0.0,36.666666666666664,0.0,33.33333333333333,0.0,7,15,1,15
Height,30%,7C x 15K,20%,7C x 3K,36.666666666666664,0.0,36.666666666666664,0.0,33.33333333333333,0.0,7,15,7,3
Height,30%,7C x 15K,30%,2C x 15K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,7,15,2,15
Height,30%,7C x 15K,30%,4C x 8K,36.666666666666664,0.0,36.666666666666664,0.0,33.33333333333333,0.0,7,15,4,8
Height,30%,7C x 15K,40%,3C x 15K,36.666666666666664,0.0,36.666666666666664,0.0,16.666666666666664,0.0,7,15,3,15
Height,30%,7C x 15K,40%,7C x 6K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,7,15,7,6
Height,30%,7C x 15K,50%,3C x 15K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,7,15,3,15
Height,30%,7C x 15K,50%,7C x 7K,36.666666666666664,0.0,36.666666666666664,0.0,40.0,0.0,7,15,7,7
Height,30%,7C x 15K,60%,4C x 15K,36.666666666666664,0.0,36.666666666666664,0.0,26.666666666666668,0.0,7,15,4,15
Height,30%,7C x 15K,60%,7C x 9K,36.666666666666664,0.0,36.666666666666664,0.0,26.666666666666668,0.0,7,15,7,9
Height,30%,7C x 15K,70%,5C x 15K,36.666666666666664,0.0,36.666666666666664,0.0,40.0,0.0,7,15,5,15
Height,30%,7C x 15K,70%,7C x 10K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,7,15,7,10
Height,30%,7C x 15K,80%,6C x 15K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,7,15,6,15
Height,30%,7C x 15K,80%,7C x 12K,36.666666666666664,0.0,36.666666666666664,0.0,36.666666666666664,0.0,7,15,7,12
Height,30%,7C x 15K,90%,6C x 15K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,7,15,6,15
Height,30%,7C x 15K,90%,7C x 13K,36.666666666666664,0.0,36.666666666666664,0.0,30.0,0.0,7,15,7,13
Height,40%,10C x 15K,10%,1C x 15K,30.0,0.0,30.0,0.0,20.0,0.0,10,15,1,15
Height,40%,10C x 15K,10%,2C x 6K,30.0,0.0,30.0,0.0,36.666666666666664,0.0,10,15,2,6
Height,40%,10C x 15K,100%,10C x 15K,15.0,0.0,15.0,0.0,15.0,0.0,10,15,10,15
Height,40%,10C x 15K,20%,10C x 3K,30.0,0.0,30.0,0.0,23.333333333333332,0.0,10,15,10,3
Height,40%,10C x 15K,20%,2C x 15K,30.0,0.0,30.0,0.0,26.666666666666668,0.0,10,15,2,15
Height,40%,10C x 15K,30%,3C x 15K,30.0,0.0,30.0,0.0,23.333333333333332,0.0,10,15,3,15
Height,40%,10C x 15K,30%,6C x 8K,30.0,0.0,30.0,0.0,30.0,0.0,10,15,6,8
Height,40%,10C x 15K,40%,10C x 6K,30.0,0.0,30.0,0.0,20.0,0.0,10,15,10,6
Height,40%,10C x 15K,40%,4C x 15K,30.0,0.0,30.0,0.0,30.0,0.0,10,15,4,15
Height,40%,10C x 15K,50%,5C x 15K,30.0,0.0,30.0,0.0,36.666666666666664,0.0,10,15,5,15
Height,40%,10C x 15K,50%,8C x 10K,30.0,0.0,30.0,0.0,33.33333333333333,0.0,10,15,8,10
Height,40%,10C x 15K,60%,10C x 9K,30.0,0.0,30.0,0.0,30.0,0.0,10,15,10,9
Height,40%,10C x 15K,60%,6C x 15K,30.0,0.0,30.0,0.0,30.0,0.0,10,15,6,15
Height,40%,10C x 15K,70%,10C x 10K,30.0,0.0,30.0,0.0,33.33333333333333,0.0,10,15,10,10
Height,40%,10C x 15K,70%,7C x 15K,30.0,0.0,30.0,0.0,30.0,0.0,10,15,7,15
Height,40%,10C x 15K,80%,10C x 12K,30.0,0.0,30.0,0.0,26.666666666666668,0.0,10,15,10,12
Height,40%,10C x 15K,80%,8C x 15K,30.0,0.0,30.0,0.0,30.0,0.0,10,15,8,15
Height,40%,10C x 15K,90%,10C x 13K,30.0,0.0,30.0,0.0,26.666666666666668,0.0,10,15,10,13
Height,40%,10C x 15K,90%,9C x 15K,30.0,0.0,30.0,0.0,26.666666666666668,0.0,10,15,9,15
