Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L1_id,L0_id,True_L0_MAE,Meas_L0_MAE
Height,0,10%,6C x 6K,L1_0,L0_0,0.12780439194519652,-1.0
Height,0,10%,6C x 6K,L1_0,L0_1,0.024142879736585663,-1.0
Height,0,10%,6C x 6K,L1_0,L0_10,0.12210450150492927,-1.0
Height,0,10%,6C x 6K,L1_0,L0_11,0.07250234373512779,-1.0
Height,0,10%,6C x 6K,L1_0,L0_12,1.1990408665951691e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_13,0.1214478722053798,-1.0
Height,0,10%,6C x 6K,L1_0,L0_14,0.13894761765626817,-1.0
Height,0,10%,6C x 6K,L1_0,L0_15,0.16878705223623608,-1.0
Height,0,10%,6C x 6K,L1_0,L0_16,9.288865972697144e-16,-1.0
Height,0,10%,6C x 6K,L1_0,L0_17,1.9234613901630836e-15,3.2150208421436824e-15
Height,0,10%,6C x 6K,L1_0,L0_18,0.14421221468641543,-1.0
Height,0,10%,6C x 6K,L1_0,L0_19,0.04272434120297947,1.7023419710919068e-15
Height,0,10%,6C x 6K,L1_0,L0_2,1.787459069646502e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_20,1.0972704226711963e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_21,0.07872693894374505,-1.0
Height,0,10%,6C x 6K,L1_0,L0_22,0.1081347957811766,0.06424523414455154
Height,0,10%,6C x 6K,L1_0,L0_23,0.026949549557442623,-1.0
Height,0,10%,6C x 6K,L1_0,L0_24,0.04928864051737003,1.3877787807814457e-15
Height,0,10%,6C x 6K,L1_0,L0_3,0.08941733148387575,-1.0
Height,0,10%,6C x 6K,L1_0,L0_4,0.02092905730543352,-1.0
Height,0,10%,6C x 6K,L1_0,L0_5,0.15801323986143856,-1.0
Height,0,10%,6C x 6K,L1_0,L0_6,1.5543122344752192e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_7,1.370200249558214e-15,1.2351231148954867e-15
Height,0,10%,6C x 6K,L1_0,L0_8,0.13543057656332338,-1.0
Height,0,10%,6C x 6K,L1_0,L0_9,0.016473988383175615,0.04118497095793864
Height,0,10%,6C x 6K,L1_1,L0_0,1.0121533241166011e-15,1.2212453270876722e-15
Height,0,10%,6C x 6K,L1_1,L0_1,0.175887049710623,-1.0
Height,0,10%,6C x 6K,L1_1,L0_10,0.4482461679043848,-1.0
Height,0,10%,6C x 6K,L1_1,L0_11,0.02611656453737342,-1.0
Height,0,10%,6C x 6K,L1_1,L0_12,0.10818497592422457,-1.0
Height,0,10%,6C x 6K,L1_1,L0_13,0.07797388344605717,-1.0
Height,0,10%,6C x 6K,L1_1,L0_14,0.16601782043994126,-1.0
Height,0,10%,6C x 6K,L1_1,L0_15,0.25977415703663265,-1.0
