Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L1_id,L0_id,True_L0_MAE,Meas_L0_MAE
Height,0,10%,6C x 6K,L1_0,L0_0,9.547918011776346e-16,-1.0
Height,0,10%,6C x 6K,L1_0,L0_1,1.7199205023151384e-15,0.05572359462184743
Height,0,10%,6C x 6K,L1_0,L0_10,1.6251467764109388e-15,0.10729385298555405
Height,0,10%,6C x 6K,L1_0,L0_11,1.2434497875801752e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_12,1.3674246919966511e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_13,1.5395092608135505e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_14,1.7541523789077474e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_15,1.2101430968414207e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_16,1.3396691163810222e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_17,1.2804572217343472e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_18,1.5348833315442788e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_19,1.1342778568253683e-15,0.11085481156304944
Height,0,10%,6C x 6K,L1_0,L0_2,1.0954200509634878e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_20,5.440092820663267e-16,-1.0
Height,0,10%,6C x 6K,L1_0,L0_21,2.0562255601911752e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_22,9.62193288008469e-16,0.08053336186932374
Height,0,10%,6C x 6K,L1_0,L0_23,1.5432100042289676e-15,0.06766980400377624
Height,0,10%,6C x 6K,L1_0,L0_24,1.4391265956703592e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_3,1.4876988529977098e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_4,1.2804572217343472e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_5,1.6449804481529402e-15,0.1044922106221774
Height,0,10%,6C x 6K,L1_0,L0_6,1.3470706032118565e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_7,1.1305771134099511e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_8,1.6431300764452318e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_9,1.1472304587793285e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_0,1.902182115524435e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_1,1.528407030567299e-15,0.15730574397437996
Height,0,10%,6C x 6K,L1_1,L0_10,1.2119934685491292e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_11,1.2018164241567319e-15,0.0397931201319407
Height,0,10%,6C x 6K,L1_1,L0_12,1.081773559619137e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_13,1.6727360237685692e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_14,1.1990408665951691e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_15,1.9539925233402757e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_16,1.1546319456101628e-15,0.05201848504314207
Height,0,10%,6C x 6K,L1_1,L0_17,1.0510111299784815e-15,0.15623616033568666
Height,0,10%,6C x 6K,L1_1,L0_18,8.363680118842846e-16,-1.0
Height,0,10%,6C x 6K,L1_1,L0_19,1.6116737574141857e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_2,1.3544720900426909e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_20,1.4284869583510348e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_21,1.5043521983670872e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_22,1.3748261788274855e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_23,1.1028215377943222e-15,0.07737455705442371
Height,0,10%,6C x 6K,L1_1,L0_24,1.0288066694859785e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_3,2.1168252336186318e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_4,8.278100427361323e-16,0.07274880567983806
Height,0,10%,6C x 6K,L1_1,L0_5,1.3433698597964394e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_6,1.4654943925052066e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_7,2.0983215165415457e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_8,1.9317880628477722e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_9,1.613061536194967e-15,-1.0
Height,0,10%,6C x 6K,L1_10,L0_0,1.3840780373660285e-15,0.14261448735690355
Height,0,10%,6C x 6K,L1_10,L0_1,1.3840780373660285e-15,-1.0
Height,0,10%,6C x 6K,L1_10,L0_10,1.7430501486614957e-15,-1.0
Height,0,10%,6C x 6K,L1_10,L0_11,1.4488410471358294e-15,0.2407524618636303
Height,0,10%,6C x 6K,L1_10,L0_12,1.0473103865630644e-15,-1.0
Height,0,10%,6C x 6K,L1_10,L0_13,1.7504516354923302e-15,0.1305960963950751
Height,0,10%,6C x 6K,L1_10,L0_14,1.4951003398285442e-15,-1.0
Height,0,10%,6C x 6K,L1_10,L0_15,1.27999462880742e-15,-1.0
Height,0,10%,6C x 6K,L1_10,L0_16,1.787459069646502e-15,-1.0
Height,0,10%,6C x 6K,L1_10,L0_17,1.432187701766452e-15,-1.0
Height,0,10%,6C x 6K,L1_10,L0_18,6.809367884367627e-16,-1.0
