Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L1_id,L0_id,True_L0_MAE,Meas_L0_MAE
Height,0,10%,2C x 15K,L1_0,L0_0,9.547918011776346e-16,-1.0
Height,0,10%,2C x 15K,L1_0,L0_1,1.4187725068855646e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_10,1.4025817544431144e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_11,8.48626724447854e-16,-1.0
Height,0,10%,2C x 15K,L1_0,L0_12,1.6135241291218942e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_13,1.1509312021947457e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_14,1.5210055437364644e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_15,1.1703601051256858e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_16,1.6264767310758544e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_17,1.6542323066914833e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_18,1.0510111299784815e-15,0.014505559911903635
Height,0,10%,2C x 15K,L1_0,L0_19,1.7021106746284432e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_2,1.1287267417022424e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_20,1.7097434579227411e-15,0.005807546198894024
Height,0,10%,2C x 15K,L1_0,L0_21,1.1971904948874605e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_22,1.2582527612418441e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_23,1.7467508920769129e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_24,1.4284869583510348e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_3,1.254552017826427e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_4,9.917992353318065e-16,-1.0
Height,0,10%,2C x 15K,L1_0,L0_5,1.2138438402568378e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_6,1.2212453270876722e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_7,1.3988810110276972e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_8,1.842507627950833e-15,-1.0
Height,0,10%,2C x 15K,L1_0,L0_9,1.0907941216942162e-15,-1.0
Height,0,10%,2C x 15K,L1_1,L0_0,9.381384558082572e-16,-1.0
Height,0,10%,2C x 15K,L1_1,L0_1,2.0502118521411222e-15,-1.0
