Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L1_id,L0_id,True_L0_MAE,Meas_L0_MAE
Height,0,10%,6C x 6K,L1_0,L0_0,9.547918011776346e-16,-1.0
Height,0,10%,6C x 6K,L1_0,L0_1,1.4553173481128093e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_10,1.3799147010236842e-15,1.5543122344752192e-15
Height,0,10%,6C x 6K,L1_0,L0_11,7.919590908992784e-16,2.0539125955565396e-15
Height,0,10%,6C x 6K,L1_0,L0_12,2.438789910759927e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_13,1.7467508920769129e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_14,1.4506914188435379e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_15,1.6542323066914833e-15,2.599772249330575e-15
Height,0,10%,6C x 6K,L1_0,L0_16,1.557087792036782e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_17,1.3840780373660285e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_18,1.298960938811433e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_19,1.6276332133931722e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_2,1.669035280353152e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_20,1.0954200509634878e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_21,1.5469107476443848e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_22,1.902182115524435e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_23,7.679042586990666e-16,-1.0
Height,0,10%,6C x 6K,L1_0,L0_24,1.6727360237685692e-15,1.4988010832439613e-15
Height,0,10%,6C x 6K,L1_0,L0_3,7.253457094217689e-16,-1.0
Height,0,10%,6C x 6K,L1_0,L0_4,1.3877787807814457e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_5,1.4654943925052066e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_6,1.463644020797498e-15,2.9559688030644793e-15
Height,0,10%,6C x 6K,L1_0,L0_7,1.1389037860946397e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_8,1.528407030567299e-15,-1.0
Height,0,10%,6C x 6K,L1_0,L0_9,1.4079015731027767e-15,2.229697907788856e-15
Height,0,10%,6C x 6K,L1_1,L0_0,2.5498122132224427e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_1,0.05608349926798906,-1.0
Height,0,10%,6C x 6K,L1_1,L0_10,1.8725761682010974e-15,2.4887499468680594e-15
Height,0,10%,6C x 6K,L1_1,L0_11,1.403969533223896e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_12,1.2998861246652875e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_13,1.2730557349035128e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_14,1.3248661427193535e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_15,0.08649681930386952,1.1287267417022424e-15
Height,0,10%,6C x 6K,L1_1,L0_16,1.4447933590252167e-15,1.8101839471817982e-15
Height,0,10%,6C x 6K,L1_1,L0_17,1.6819878823071122e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_18,1.4691951359206237e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_19,8.275787462726688e-16,-1.0
Height,0,10%,6C x 6K,L1_1,L0_2,1.1194748831636996e-15,1.2212453270876722e-15
Height,0,10%,6C x 6K,L1_1,L0_20,1.4580929056743722e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_21,1.2027416100105863e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_22,1.768492759642489e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_23,9.02981393361794e-16,-1.0
Height,0,10%,6C x 6K,L1_1,L0_24,1.1021276484039315e-15,1.9897278269453977e-15
Height,0,10%,6C x 6K,L1_1,L0_3,1.1176245114559909e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_4,1.1028215377943222e-15,-1.0
Height,0,10%,6C x 6K,L1_1,L0_5,1.2360483007493409e-15,-1.0
