Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,L1_id,True_L1_MAE,Meas_L1_MAE,Meas_L2_MAE
Height,0,10%,2C x 15K,10%,2C x 2K,L1_0,0.1253954307311796,0.1332818540980666,0.013072800713373911
Height,0,10%,2C x 15K,10%,2C x 2K,L1_1,0.11019242671500831,0.24291056467100552,0.12610986634192667
Height,0,10%,2C x 15K,10%,2C x 2K,L1_2,0.12822330688587932,0.20467347208157255,0.054488027070183326
Height,0,10%,2C x 15K,10%,1C x 3K,L1_0,0.1253954307311796,0.1332818540980666,0.0683372888482261
Height,0,10%,2C x 15K,10%,1C x 3K,L1_1,0.11019242671500831,0.24291056467100552,0.09389965353102896
Height,0,10%,2C x 15K,10%,1C x 3K,L1_2,0.12822330688587932,0.20467347208157255,2.5905203907920318e-15
Height,0,10%,2C x 15K,20%,2C x 3K,L1_0,0.1253954307311796,0.1332818540980666,0.0476582288557866
Height,0,10%,2C x 15K,20%,2C x 3K,L1_1,0.11019242671500831,0.24291056467100552,0.03721114966741812
Height,0,10%,2C x 15K,20%,2C x 3K,L1_2,0.12822330688587932,0.20467347208157255,0.053278441535836225
Height,0,10%,2C x 15K,20%,1C x 6K,L1_0,0.1253954307311796,0.1332818540980666,0.04288384489969451
Height,0,10%,2C x 15K,20%,1C x 6K,L1_1,0.11019242671500831,0.24291056467100552,0.05004386916773692
Height,0,10%,2C x 15K,20%,1C x 6K,L1_2,0.12822330688587932,0.20467347208157255,0.33816651398641645
Height,0,10%,2C x 15K,30%,2C x 4K,L1_0,0.1253954307311796,0.1332818540980666,0.10482678950445565
Height,0,10%,2C x 15K,30%,2C x 4K,L1_1,0.11019242671500831,0.24291056467100552,0.06201192044910944
Height,0,10%,2C x 15K,30%,2C x 4K,L1_2,0.12822330688587932,0.20467347208157255,0.009925269513183057
Height,0,10%,2C x 15K,30%,1C x 9K,L1_0,0.1253954307311796,0.1332818540980666,0.07402988375347713
Height,0,10%,2C x 15K,30%,1C x 9K,L1_1,0.11019242671500831,0.24291056467100552,0.07839090837252442
Height,0,10%,2C x 15K,30%,1C x 9K,L1_2,0.12822330688587932,0.20467347208157255,0.019900398253479945
Height,0,10%,2C x 15K,40%,2C x 6K,L1_0,0.1253954307311796,0.1332818540980666,0.055037462999904
Height,0,10%,2C x 15K,40%,2C x 6K,L1_1,0.11019242671500831,0.24291056467100552,0.12040445659548321
Height,0,10%,2C x 15K,40%,2C x 6K,L1_2,0.12822330688587932,0.20467347208157255,0.05435832154603021
Height,0,10%,2C x 15K,40%,1C x 12K,L1_0,0.1253954307311796,0.1332818540980666,0.06814037753879279
Height,0,10%,2C x 15K,40%,1C x 12K,L1_1,0.11019242671500831,0.24291056467100552,0.13434686273459837
Height,0,10%,2C x 15K,40%,1C x 12K,L1_2,0.12822330688587932,0.20467347208157255,0.2353887504206795
Height,0,10%,2C x 15K,50%,2C x 7K,L1_0,0.1253954307311796,0.1332818540980666,0.05363630376679566
Height,0,10%,2C x 15K,50%,2C x 7K,L1_1,0.11019242671500831,0.24291056467100552,0.1103470244194776
Height,0,10%,2C x 15K,50%,2C x 7K,L1_2,0.12822330688587932,0.20467347208157255,0.15913417922399686
Height,0,10%,2C x 15K,50%,1C x 15K,L1_0,0.1253954307311796,0.1332818540980666,0.06290018801291904
Height,0,10%,2C x 15K,50%,1C x 15K,L1_1,0.11019242671500831,0.24291056467100552,0.09763318672437284
Height,0,10%,2C x 15K,50%,1C x 15K,L1_2,0.12822330688587932,0.20467347208157255,0.036915936192150764
Height,0,10%,2C x 15K,60%,2C x 9K,L1_0,0.1253954307311796,0.1332818540980666,0.04189402892413887
Height,0,10%,2C x 15K,60%,2C x 9K,L1_1,0.11019242671500831,0.24291056467100552,0.14307273493496345
Height,0,10%,2C x 15K,60%,2C x 9K,L1_2,0.12822330688587932,0.20467347208157255,0.03569614763881587
Height,0,10%,2C x 15K,60%,1C x 15K,L1_0,0.1253954307311796,0.1332818540980666,0.08639588972979864
Height,0,10%,2C x 15K,60%,1C x 15K,L1_1,0.11019242671500831,0.24291056467100552,0.1074774901876791
Height,0,10%,2C x 15K,60%,1C x 15K,L1_2,0.12822330688587932,0.20467347208157255,0.036915936192150764
Height,0,10%,2C x 15K,70%,2C x 10K,L1_0,0.1253954307311796,0.1332818540980666,0.1086962166118595
Height,0,10%,2C x 15K,70%,2C x 10K,L1_1,0.11019242671500831,0.24291056467100552,0.0815903337267492
Height,0,10%,2C x 15K,70%,2C x 10K,L1_2,0.12822330688587932,0.20467347208157255,0.14244515477359648
Height,0,10%,2C x 15K,70%,1C x 15K,L1_0,0.1253954307311796,0.1332818540980666,0.06290018801291904
Height,0,10%,2C x 15K,70%,1C x 15K,L1_1,0.11019242671500831,0.24291056467100552,0.1074774901876791
Height,0,10%,2C x 15K,70%,1C x 15K,L1_2,0.12822330688587932,0.20467347208157255,0.18831100033654433
Height,0,10%,2C x 15K,80%,2C x 12K,L1_0,0.1253954307311796,0.1332818540980666,0.09058018050988331
Height,0,10%,2C x 15K,80%,2C x 12K,L1_1,0.11019242671500831,0.24291056467100552,0.1168263203371838
