Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,L1_id,True_L1_MAE,Meas_L1_MAE,Meas_L2_MAE
Height,0,10%,6C x 6K,10%,3C x 1K,L1_0,0.08255136748534801,0.12751346148613127,0.1315547620882638
Height,0,10%,6C x 6K,10%,3C x 1K,L1_1,0.1416157007525133,0.23158994691437965,0.02669671603701181
Height,0,10%,6C x 6K,10%,3C x 1K,L1_10,0.12361151249372557,0.2908844252927348,0.07416673276069548
Height,0,10%,6C x 6K,10%,3C x 1K,L1_11,0.11317740319052402,0.20475896230068083,0.9947344367743994
Height,0,10%,6C x 6K,10%,3C x 1K,L1_12,0.11600027603672587,0.16436997588715233,1.313763912473102e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_13,0.10086107438363212,0.11938819701467818,0.27127882514243257
Height,0,10%,6C x 6K,10%,3C x 1K,L1_14,0.05669497412356025,0.08911595577611525,0.01880600167829553
Height,0,10%,6C x 6K,10%,3C x 1K,L1_15,0.08300049595054584,0.05946609692373364,0.3327279506876741
Height,0,10%,6C x 6K,10%,3C x 1K,L1_16,0.07122051079044456,0.18620669197192755,5.181040781584064e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_17,0.115149453861588,0.09971451951031973,1.8503717077085944e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_18,0.10347434099733101,0.06676978631456976,2.3684757858670005e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_19,0.09280255299339342,0.14036417519126265,0.5169654412439667
Height,0,10%,6C x 6K,10%,3C x 1K,L1_2,0.11505327208570926,0.15906507163802916,0.09702263462818599
Height,0,10%,6C x 6K,10%,3C x 1K,L1_20,0.05020297560070216,0.06529999888276627,0.04548651158464034
Height,0,10%,6C x 6K,10%,3C x 1K,L1_21,0.08424752581573582,0.13457517933656019,0.04453960605516727
Height,0,10%,6C x 6K,10%,3C x 1K,L1_22,0.08996413022734906,0.06545250421089094,0.1308966528840155
