Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,L1_id,True_L1_MAE,Meas_L1_MAE,Meas_L2_MAE
Height,0,10%,2C x 15K,10%,2C x 2K,L1_0,0.07701713861745954,0.07210610734320877,1.7763568394002505e-15
Height,0,10%,2C x 15K,10%,2C x 2K,L1_1,0.1243342976972961,0.08810550655254573,1.4155343563970746e-15
Height,0,10%,2C x 15K,10%,2C x 2K,L1_2,0.07336395876283343,0.05564466999461521,2.040034807748725e-15
Height,0,10%,2C x 15K,10%,1C x 3K,L1_0,0.07701713861745954,0.07210610734320877,1.6144493149757484e-15
Height,0,10%,2C x 15K,10%,1C x 3K,L1_1,0.1243342976972961,0.08810550655254573,1.4802973661668755e-15
Height,0,10%,2C x 15K,10%,1C x 3K,L1_2,0.07336395876283343,0.05564466999461521,9.62193288008469e-16
Height,0,10%,2C x 15K,20%,2C x 3K,L1_0,0.07701713861745954,0.07210610734320877,2.2505145895005776e-15
Height,0,10%,2C x 15K,20%,2C x 3K,L1_1,0.1243342976972961,0.08810550655254573,1.0500859441246273e-15
Height,0,10%,2C x 15K,20%,2C x 3K,L1_2,0.07336395876283343,0.05564466999461521,2.7200464103316335e-15
Height,0,10%,2C x 15K,20%,1C x 6K,L1_0,0.07701713861745954,0.07210610734320877,1.7763568394002505e-15
Height,0,10%,2C x 15K,20%,1C x 6K,L1_1,0.1243342976972961,0.08810550655254573,2.238949766327399e-15
Height,0,10%,2C x 15K,20%,1C x 6K,L1_2,0.07336395876283343,0.05564466999461521,2.976785484776201e-15
Height,0,10%,2C x 15K,30%,2C x 4K,L1_0,0.07701713861745954,0.07210610734320877,1.2160411566597418e-15
Height,0,10%,2C x 15K,30%,2C x 4K,L1_1,0.1243342976972961,0.08810550655254573,1.4988010832439613e-15
Height,0,10%,2C x 15K,30%,2C x 4K,L1_2,0.07336395876283343,0.05564466999461521,2.123301534595612e-15
Height,0,10%,2C x 15K,30%,1C x 9K,L1_0,0.07701713861745954,0.07210610734320877,1.1796119636642288e-15
