Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,L1_id,True_L1_MAE,Meas_L1_MAE,Meas_L2_MAE
Height,0,10%,6C x 6K,10%,3C x 1K,L1_0,0.06584149333224437,0.017571700850416285,9.853229343548264e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_1,0.16646549779266148,0.06612777672919168,1.49417515397469e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_10,0.07146801556367602,0.13057679743621742,5.181040781584064e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_11,0.13124500848520834,0.1271504729048702,2.0163269202437086e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_12,0.10795575484619449,0.12280704245896892,3.4046839421838135e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_13,0.10532548107653605,0.013520950572979131,2.257453483404485e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_14,0.08525860729481076,0.04770577405341694,2.6645352591003757e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_15,0.10308948926355713,0.045848403572739664,2.275957200481571e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_16,0.15078145640999055,0.14857480947365642,1.4802973661668755e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_17,0.09219173333391889,0.07638418037721167,4.070817756958907e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_18,0.10061073637891552,0.017251116559575213,1.7208456881689926e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_19,0.06349807446812947,0.05144334790566434,2.1834386150961413e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_2,0.06834455259152679,0.055588727063910465,9.62193288008469e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_20,0.07346716436895126,0.022554188291821813,2.812564995717063e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_21,0.10384379821026776,0.14793410980900049,8.881784197001252e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_22,0.11437637923426382,0.08829515734914309,3.552713678800501e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_23,0.07747526747023263,0.04468435942096842,4.070817756958907e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_24,0.12271062567027131,0.1377432789894428,2.3314683517128287e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_25,0.08362436367075692,0.08646632270414037,8.881784197001252e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_26,0.06705492466130145,0.08659105130143206,3.434752482434078e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_27,0.049380846314692715,0.05075472813230973,2.3684757858670005e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_28,0.10077239448692832,0.14451994563067622,1.86887542478568e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_29,0.06612399055418858,0.023370864779860927,2.6830389761774618e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_3,0.10372897533981319,0.043467736385313455,3.608224830031759e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_30,0.1323297046754482,0.1120514998950989,5.828670879282072e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_31,0.10263946421525805,0.07468210384002966,2.4424906541753444e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_32,0.11527401913299803,0.03619827726222002,4.996003610813204e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_33,0.05820454464089148,0.008847496232093854,4.644432986348572e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_34,0.12282770111035005,0.13980239276715628,1.4062824978585316e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_35,0.08837915410400986,0.15818300557658024,1.924386576016938e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_36,0.08438372197396138,0.07561302661690063,2.1834386150961413e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_37,0.13438829625643162,0.06639636696456716,2.146431180941969e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_38,0.08793757032232251,0.11420582039875608,3.293661639721298e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_39,0.0980887317569694,0.2311396977199861,0.04949018777529631
Height,0,10%,6C x 6K,10%,3C x 1K,L1_4,0.14535228647207266,0.13118959495837698,2.220446049250313e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_40,0.10590070482382113,0.11975461279977445,2.146431180941969e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_41,0.0818673452959542,0.0780924425096578,1.924386576016938e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_42,0.09573067761769731,0.20243975607031722,2.5165055224836883e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_43,0.08033161673788355,0.06818887449927742,1.7763568394002505e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_44,0.0955726656481914,0.15499517804155316,2.0724163126336257e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_45,0.10050237206967119,0.06667423544981693,1.0269562977782698e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_46,0.07149584647727818,0.05381521027912182,1.2582527612418441e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_47,0.10005501035041472,0.08335316617650741,5.921189464667501e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_48,0.11413121467144736,0.23637257590653155,1.96139401017111e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_49,0.10727545381446274,0.08730020131447917,1.1472304587793285e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_5,0.06659815694790801,0.01559907948612576,2.294460917558657e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_50,0.10003921889252433,0.018408483839734438,7.401486830834377e-17
Height,0,10%,6C x 6K,10%,3C x 1K,L1_51,0.0869739686799986,0.15530694354176408,2.9235872981795788e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_52,0.10061363311963065,0.06110585984759899,7.401486830834377e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_53,0.10708512639286152,0.20429837090391686,1.7023419710919068e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_54,0.11714527699769373,0.13939425892401858,1.6884641832840923e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_55,0.08573437988601829,0.0873316743428125,1.5173048003210472e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_56,0.08579771906420873,0.1229083833732197,3.9968028886505635e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_57,0.07594288946433617,0.18537378862984388,2.0724163126336257e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_58,0.11798215781309788,0.20384331160675412,7.401486830834377e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_59,0.09397971835208933,0.13810840869728885,1.0362081563168128e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_6,0.07846858090202982,0.10169782040007329,2.812564995717063e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_60,0.09687259494631492,0.18380875570441368,1.8503717077085944e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_61,0.10513545326850504,0.20178588942666836,2.6645352591003757e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_62,0.07852978666548358,0.10410629244719055,2.220446049250313e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_63,0.09001636692451101,0.19941294899615647,2.220446049250313e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_64,0.09941177274480945,0.03371033952113453,1.4617936490897894e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_65,0.0957489878631354,0.06162835698915773,1.5543122344752192e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_66,0.11993355210116438,1.931325469920845e-15,1.1842378929335002e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_67,0.1293870333547892,0.07937605107775167,1.4802973661668755e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_68,0.07677901185992547,0.06549082330264885,5.181040781584064e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_69,0.12011520824436496,0.15534938048393288,4.144832625267251e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_7,0.168805682867806,0.29368727290376806,1.313763912473102e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_70,0.08317705408785693,0.040640325783344776,2.5165055224836883e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_71,0.13568005521800897,0.06473532982114087,7.031412489292658e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_72,0.06209772856898882,0.07854088898232123,2.6830389761774618e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_73,0.13535277798317658,0.09566038234384168,1.6283271027835629e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_74,0.12554324269481637,0.007013775125382254,8.881784197001252e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_75,0.0963753042252667,0.20491194057782117,2.9605947323337506e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_76,0.09045605259954895,0.1499792173259028,3.1826393372587822e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_77,0.08050437267239469,0.0439223260700895,3.0993726104118955e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_78,0.0901870622779019,0.06082513780746806,8.881784197001252e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_79,0.11829299344182514,0.16314513095743016,2.599772249330575e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_8,0.071201801615437,0.08763976538575015,0.07587798373359063
Height,0,10%,6C x 6K,10%,3C x 1K,L1_80,0.10981825523583164,0.05451986981299383,1.1472304587793285e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_81,0.06163410222710459,1.873115859949179e-15,1.6653345369377348e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_82,0.08606258889886635,0.0955575467319955,1.2212453270876722e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_83,0.07201765565248876,0.16734098738672396,2.7755575615628914e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_84,0.10111408151359806,0.19500802547225524,2.220446049250313e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_85,0.060410666150730076,0.03923435525131113,1.7763568394002505e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_86,0.09815839719675955,0.18131551309550556,3.2566542055671257e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_87,0.09243848347475048,0.18447835573309745,3.92278802034222e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_88,0.09310171010125977,0.032656914934701964,1.4062824978585316e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_89,0.08139609338647327,0.027113308655226324,9.62193288008469e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_9,0.06913882463007585,0.10984788689027253,3.700743415417189e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_90,0.09737672935128891,0.03481966969311101,9.62193288008469e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_91,0.06263039990037335,0.09291200119698938,5.551115123125783e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_92,0.09857477456711189,0.07481417016474515,4.9960036108132044e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_93,0.10121814713996864,0.1010265686080935,1.6283271027835629e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_94,0.05589410281810371,0.01341728511041395,4.181840059421423e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_95,0.09723342140226189,0.13930711159931983,2.294460917558657e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_96,0.06896657689889271,0.11959300373211144,2.609024107869118e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_97,0.09496114473346845,0.10822695225586672,1.4432899320127035e-15
