Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,L1_id,True_L1_MAE,Meas_L1_MAE,Meas_L2_MAE
Height,0,10%,2C x 15K,10%,2C x 2K,L1_0,1.360802674247689e-15,0.14662536478359448,0.1660647921061586
Height,0,10%,2C x 15K,10%,2C x 2K,L1_1,0.007016467489076961,0.07687866354250476,0.039005362578198643
Height,0,10%,2C x 15K,10%,2C x 2K,L1_2,1.3637123837580608e-15,0.11628069493567002,0.10889453897812085
Height,0,10%,2C x 15K,10%,1C x 3K,L1_0,1.360802674247689e-15,0.14662536478359448,0.11066555240889968
Height,0,10%,2C x 15K,10%,1C x 3K,L1_1,0.007016467489076961,0.07687866354250476,0.20908071481620394
Height,0,10%,2C x 15K,10%,1C x 3K,L1_2,1.3637123837580608e-15,0.11628069493567002,0.05071713673586357
Height,0,10%,2C x 15K,20%,2C x 3K,L1_0,1.360802674247689e-15,0.14662536478359448,0.21465163878817753
Height,0,10%,2C x 15K,20%,2C x 3K,L1_1,0.007016467489076961,0.07687866354250476,0.4663436059083034
Height,0,10%,2C x 15K,20%,2C x 3K,L1_2,1.3637123837580608e-15,0.11628069493567002,0.038458187917449434
Height,0,10%,2C x 15K,20%,1C x 6K,L1_0,1.360802674247689e-15,0.14662536478359448,0.16016624601698
Height,0,10%,2C x 15K,20%,1C x 6K,L1_1,0.007016467489076961,0.07687866354250476,0.06150413610331854
Height,0,10%,2C x 15K,20%,1C x 6K,L1_2,1.3637123837580608e-15,0.11628069493567002,0.2576299039430593
Height,0,10%,2C x 15K,30%,2C x 4K,L1_0,1.360802674247689e-15,0.14662536478359448,0.09703154140513132
Height,0,10%,2C x 15K,30%,2C x 4K,L1_1,0.007016467489076961,0.07687866354250476,0.0619230496464
Height,0,10%,2C x 15K,30%,2C x 4K,L1_2,1.3637123837580608e-15,0.11628069493567002,0.14542529281254943
