Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,L1_id,True_L1_MAE,Meas_L1_MAE,Meas_L2_MAE
Height,0,10%,6C x 6K,10%,3C x 1K,L1_0,1.361006215135537e-15,0.08776127261095472,0.03546569185021994
Height,0,10%,6C x 6K,10%,3C x 1K,L1_1,1.4238425253646863e-15,0.09257947870323519,0.024828127234322594
Height,0,10%,6C x 6K,10%,3C x 1K,L1_10,1.3737667687446776e-15,0.1331224867743631,0.3187543361685775
Height,0,10%,6C x 6K,10%,3C x 1K,L1_11,1.3044195353491736e-15,0.1710599415870705,0.1061080072059128
Height,0,10%,6C x 6K,10%,3C x 1K,L1_12,1.3983258995153847e-15,0.18084048828597932,0.05740085639071298
Height,0,10%,6C x 6K,10%,3C x 1K,L1_13,1.3466820251532379e-15,0.169227269448462,0.06499924883834095
Height,0,10%,6C x 6K,10%,3C x 1K,L1_14,1.420058515222422e-15,0.12190847875457046,0.0775967176870862
Height,0,10%,6C x 6K,10%,3C x 1K,L1_15,1.2486794006190867e-15,0.17422931180568935,0.16686852212432823
Height,0,10%,6C x 6K,10%,3C x 1K,L1_16,1.3263695697318667e-15,0.13898397465650614,0.14319224914903697
Height,0,10%,6C x 6K,10%,3C x 1K,L1_17,1.3310544795993214e-15,0.10005903066568876,0.06719135747106748
Height,0,10%,6C x 6K,10%,3C x 1K,L1_18,1.2940476236863082e-15,0.164446928567612,0.18537404976269756
Height,0,10%,6C x 6K,10%,3C x 1K,L1_19,0.004003819299674488,0.12907182191067906,0.10692415880386696
Height,0,10%,6C x 6K,10%,3C x 1K,L1_2,1.3637123837580608e-15,0.08623269754210465,0.06918005198709888
Height,0,10%,6C x 6K,10%,3C x 1K,L1_20,0.002954176120913776,0.1668515653114358,0.1779000848612705
Height,0,10%,6C x 6K,10%,3C x 1K,L1_21,1.3974932322469158e-15,0.09993802791035528,0.06732533916844778
Height,0,10%,6C x 6K,10%,3C x 1K,L1_22,1.2685223242196268e-15,0.12300040896528791,0.20922449628260456
Height,0,10%,6C x 6K,10%,3C x 1K,L1_23,1.2706375303780012e-15,0.11970474056868936,0.20224065354309095
Height,0,10%,6C x 6K,10%,3C x 1K,L1_24,1.3202957246013132e-15,0.1347961832643284,0.2000691543952582
Height,0,10%,6C x 6K,10%,3C x 1K,L1_25,1.4190593145002595e-15,0.11497687355390591,0.11605705757678424
Height,0,10%,6C x 6K,10%,3C x 1K,L1_26,1.3757166702118202e-15,0.12189786500055577,0.048092673683427845
Height,0,10%,6C x 6K,10%,3C x 1K,L1_27,0.006500492254006801,0.1687161481304662,0.14535634502078934
Height,0,10%,6C x 6K,10%,3C x 1K,L1_28,1.3282893303786144e-15,0.15711773422808137,0.3217216080901453
Height,0,10%,6C x 6K,10%,3C x 1K,L1_29,1.3446373644162198e-15,0.12403073627613218,0.1811011950444166
Height,0,10%,6C x 6K,10%,3C x 1K,L1_3,1.3972237718669807e-15,0.11756949206791258,0.07571909861697113
Height,0,10%,6C x 6K,10%,3C x 1K,L1_30,1.4002485513679257e-15,0.12169096519458125,0.1292472168155364
Height,0,10%,6C x 6K,10%,3C x 1K,L1_31,1.3971601653395283e-15,0.09310503030137002,0.07455753747353455
Height,0,10%,6C x 6K,10%,3C x 1K,L1_32,1.387871299366831e-15,0.14604827466400117,0.24586907227471322
Height,0,10%,6C x 6K,10%,3C x 1K,L1_33,1.3663699801232573e-15,0.09910669515675827,0.09702095153444046
Height,0,10%,6C x 6K,10%,3C x 1K,L1_34,1.3524829404569042e-15,0.11419520807056781,0.016953190198223594
Height,0,10%,6C x 6K,10%,3C x 1K,L1_35,1.2886312387531499e-15,0.12471509958867581,0.14522724091980801
Height,0,10%,6C x 6K,10%,3C x 1K,L1_36,1.2714435985531717e-15,0.1179652152774549,0.05346244548275162
Height,0,10%,6C x 6K,10%,3C x 1K,L1_37,1.4403478409974468e-15,0.07783929638778067,0.041858222795827994
Height,0,10%,6C x 6K,10%,3C x 1K,L1_38,1.4095669076397143e-15,0.10784014672878574,0.03634979908836158
Height,0,10%,6C x 6K,10%,3C x 1K,L1_39,1.3356029245533327e-15,0.0771247691785,0.01848448500819111
Height,0,10%,6C x 6K,10%,3C x 1K,L1_4,1.2564648395792707e-15,0.12447597619664084,0.08675295465634171
Height,0,10%,6C x 6K,10%,3C x 1K,L1_40,1.389009277967072e-15,0.10892896865422777,0.05286346916078005
Height,0,10%,6C x 6K,10%,3C x 1K,L1_41,1.3821397730022037e-15,0.0719939342321098,0.09315520162402668
Height,0,10%,6C x 6K,10%,3C x 1K,L1_42,1.36641623941595e-15,0.09241419796155054,0.07421553178800422
Height,0,10%,6C x 6K,10%,3C x 1K,L1_43,1.3129798174619605e-15,0.12419566799579071,0.04102830280404804
Height,0,10%,6C x 6K,10%,3C x 1K,L1_44,1.4255818747699323e-15,0.11780063946955743,0.05803083422296196
Height,0,10%,6C x 6K,10%,3C x 1K,L1_45,1.3403445020543358e-15,0.09003633083489516,0.06806031329882334
Height,0,10%,6C x 6K,10%,3C x 1K,L1_46,1.3815198984801214e-15,0.08446943906790165,0.019047018658240693
Height,0,10%,6C x 6K,10%,3C x 1K,L1_47,1.3489024712024881e-15,0.07154275314340763,0.16969360096885744
Height,0,10%,6C x 6K,10%,3C x 1K,L1_48,1.272572325294874e-15,0.10399138579901884,0.03638089717250984
Height,0,10%,6C x 6K,10%,3C x 1K,L1_49,1.378728150166116e-15,0.11211519219468674,0.0984582650121452
Height,0,10%,6C x 6K,10%,3C x 1K,L1_5,1.3667030470306449e-15,0.12909415097341947,0.06100050441371078
Height,0,10%,6C x 6K,10%,3C x 1K,L1_50,1.260260414544708e-15,0.1288926812083836,0.12328995859502538
Height,0,10%,6C x 6K,10%,3C x 1K,L1_51,1.322557804013987e-15,0.1020337300366104,0.08776184268210656
Height,0,10%,6C x 6K,10%,3C x 1K,L1_52,1.3888890038060708e-15,0.12688041268848158,0.22799668367041157
Height,0,10%,6C x 6K,10%,3C x 1K,L1_53,0.0014668778946654941,0.08455370245616821,0.11042036964817997
Height,0,10%,6C x 6K,10%,3C x 1K,L1_54,1.393561192368035e-15,0.1617196789910195,0.12516336472001852
Height,0,10%,6C x 6K,10%,3C x 1K,L1_55,1.3466496436483529e-15,0.10778831442816311,0.06264764468231417
Height,0,10%,6C x 6K,10%,3C x 1K,L1_56,1.4566717334666782e-15,0.15070381152393217,0.22731438279994254
Height,0,10%,6C x 6K,10%,3C x 1K,L1_57,1.3316778235683557e-15,0.14771555375424059,0.4412332181685397
Height,0,10%,6C x 6K,10%,3C x 1K,L1_58,1.4553404777591558e-15,0.15705246750728488,0.05612702738165076
Height,0,10%,6C x 6K,10%,3C x 1K,L1_59,1.3613462209368283e-15,0.16063642684849028,0.1596396127129519
Height,0,10%,6C x 6K,10%,3C x 1K,L1_6,0.003798027073732202,0.15802636355426275,0.2089179307454814
Height,0,10%,6C x 6K,10%,3C x 1K,L1_60,1.3769604669440957e-15,0.1010080448919398,0.10812963826416676
Height,0,10%,6C x 6K,10%,3C x 1K,L1_61,1.323136045172646e-15,0.10577203666759909,0.03768710725690153
Height,0,10%,6C x 6K,10%,3C x 1K,L1_62,1.3518075547835906e-15,0.11203259812527991,0.01553682619607466
Height,0,10%,6C x 6K,10%,3C x 1K,L1_63,1.408077358415009e-15,0.12148419385085046,0.18721831128677588
Height,0,10%,6C x 6K,10%,3C x 1K,L1_64,1.3388780824759767e-15,0.15268085733667908,0.07345499926618271
Height,0,10%,6C x 6K,10%,3C x 1K,L1_65,1.4062824978585316e-15,0.12582841516244112,0.041821132040142706
Height,0,10%,6C x 6K,10%,3C x 1K,L1_66,1.3354178873825618e-15,0.07672016241908729,0.04737828904114083
Height,0,10%,6C x 6K,10%,3C x 1K,L1_67,1.3935149330753422e-15,0.0812812391040704,1.4062824978585316e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_68,0.011821224082223,0.13405897507426104,0.08527057862785681
Height,0,10%,6C x 6K,10%,3C x 1K,L1_69,1.3797019082772978e-15,0.14242235253631483,0.05329269308105696
Height,0,10%,6C x 6K,10%,3C x 1K,L1_7,0.013373085809345774,0.14485151300372126,0.10855984592794221
Height,0,10%,6C x 6K,10%,3C x 1K,L1_70,1.297508397020882e-15,0.10927113831603585,0.07136762919580113
Height,0,10%,6C x 6K,10%,3C x 1K,L1_71,1.2773000250080695e-15,0.12054689635464107,0.0684252756725446
Height,0,10%,6C x 6K,10%,3C x 1K,L1_72,1.204800148535412e-15,0.11814211088666338,0.06763325712392253
Height,0,10%,6C x 6K,10%,3C x 1K,L1_73,1.3887872333621468e-15,0.11254188746247953,0.07524001986730215
Height,0,10%,6C x 6K,10%,3C x 1K,L1_74,1.330907606345022e-15,0.09588593171720888,0.06553286435100596
Height,0,10%,6C x 6K,10%,3C x 1K,L1_75,1.2857492848183937e-15,0.10744319387715934,0.023569244215433993
Height,0,10%,6C x 6K,10%,3C x 1K,L1_76,1.3479848024836964e-15,0.14533780060976664,0.04934520698355079
Height,0,10%,6C x 6K,10%,3C x 1K,L1_77,1.3510113167081172e-15,0.10624011363858994,0.07769201890913928
Height,0,10%,6C x 6K,10%,3C x 1K,L1_78,1.3055621398786835e-15,0.18069835441547133,0.23719378955224046
Height,0,10%,6C x 6K,10%,3C x 1K,L1_79,1.3214429550600926e-15,0.10305003682648388,0.13774946337643743
Height,0,10%,6C x 6K,10%,3C x 1K,L1_8,1.2737619841986698e-15,0.15672281526600854,0.08249299323368542
Height,0,10%,6C x 6K,10%,3C x 1K,L1_80,1.31539455254052e-15,0.12666999470508455,0.13295020209862826
Height,0,10%,6C x 6K,10%,3C x 1K,L1_81,0.004421404906722607,0.09544482470349089,0.04325253560756296
Height,0,10%,6C x 6K,10%,3C x 1K,L1_82,0.004770612757823224,0.06821805477642898,0.054374643991979554
Height,0,10%,6C x 6K,10%,3C x 1K,L1_83,1.2720010230301188e-15,0.114633386863773,0.045791345870380175
Height,0,10%,6C x 6K,10%,3C x 1K,L1_84,1.3386144045076284e-15,0.08101312547640951,0.0835978285129823
Height,0,10%,6C x 6K,10%,3C x 1K,L1_85,1.3993759854595093e-15,0.142856130667408,0.05047506680142214
Height,0,10%,6C x 6K,10%,3C x 1K,L1_86,1.4534299689709466e-15,0.10811273960428847,0.03885469061791585
Height,0,10%,6C x 6K,10%,3C x 1K,L1_87,1.311737755453161e-15,0.12084670804470858,0.05771305821706677
Height,0,10%,6C x 6K,10%,3C x 1K,L1_88,1.3819639876899715e-15,0.09637611256405142,0.1782701242013883
Height,0,10%,6C x 6K,10%,3C x 1K,L1_89,1.4281330747619354e-15,0.1268390770160677,0.3501377903252411
Height,0,10%,6C x 6K,10%,3C x 1K,L1_9,1.3265006859145925e-15,0.18277878730713898,0.12021685369070934
Height,0,10%,6C x 6K,10%,3C x 1K,L1_90,1.3129227161475429e-15,0.1300454477912762,0.34073173071590285
Height,0,10%,6C x 6K,10%,3C x 1K,L1_91,1.4780052182139513e-15,0.08603569845528526,0.062323314486641156
Height,0,10%,6C x 6K,10%,3C x 1K,L1_92,1.3028467193976211e-15,0.12744640346796077,0.06986768877314338
Height,0,10%,6C x 6K,10%,3C x 1K,L1_93,1.2860962295135892e-15,0.07960503816825491,0.03992546612788961
Height,0,10%,6C x 6K,10%,3C x 1K,L1_94,0.003472269936679963,0.13700749970667844,0.311012071672666
Height,0,10%,6C x 6K,10%,3C x 1K,L1_95,1.2486493320788364e-15,0.15110242911762192,0.06307988616296266
Height,0,10%,6C x 6K,10%,3C x 1K,L1_96,1.3676236069552299e-15,0.11920936553791657,0.07971647523936798
Height,0,10%,6C x 6K,10%,3C x 1K,L1_97,1.3327117187600379e-15,0.09740140749019784,0.060554772214674646
Height,0,10%,6C x 6K,10%,3C x 1K,L1_98,1.4399685147973666e-15,0.09374231692610938,0.04636049094927319
Height,0,10%,6C x 6K,10%,3C x 1K,L1_99,1.278902909499872e-15,0.09239070149199284,0.03198250519251308
Height,0,10%,6C x 6K,10%,1C x 3K,L1_0,1.361006215135537e-15,0.08776127261095472,0.09660593961164625
Height,0,10%,6C x 6K,10%,1C x 3K,L1_1,1.4238425253646863e-15,0.09257947870323519,2.146431180941969e-15
Height,0,10%,6C x 6K,10%,1C x 3K,L1_10,1.3737667687446776e-15,0.1331224867743631,0.2935566301069417
Height,0,10%,6C x 6K,10%,1C x 3K,L1_11,1.3044195353491736e-15,0.1710599415870705,0.25985140238744747
Height,0,10%,6C x 6K,10%,1C x 3K,L1_12,1.3983258995153847e-15,0.18084048828597932,0.3878012544074308
Height,0,10%,6C x 6K,10%,1C x 3K,L1_13,1.3466820251532379e-15,0.169227269448462,0.4715559290574786
Height,0,10%,6C x 6K,10%,1C x 3K,L1_14,1.420058515222422e-15,0.12190847875457046,0.097273410632798
Height,0,10%,6C x 6K,10%,1C x 3K,L1_15,1.2486794006190867e-15,0.17422931180568935,0.17151626466996306
Height,0,10%,6C x 6K,10%,1C x 3K,L1_16,1.3263695697318667e-15,0.13898397465650614,0.1138262219104355
Height,0,10%,6C x 6K,10%,1C x 3K,L1_17,1.3310544795993214e-15,0.10005903066568876,0.08245330855159817
Height,0,10%,6C x 6K,10%,1C x 3K,L1_18,1.2940476236863082e-15,0.164446928567612,0.07495638999066097
Height,0,10%,6C x 6K,10%,1C x 3K,L1_19,0.004003819299674488,0.12907182191067906,0.11481277365531455
Height,0,10%,6C x 6K,10%,1C x 3K,L1_2,1.3637123837580608e-15,0.08623269754210465,0.0827131301209482
Height,0,10%,6C x 6K,10%,1C x 3K,L1_20,0.002954176120913776,0.1668515653114358,0.29210284172189477
Height,0,10%,6C x 6K,10%,1C x 3K,L1_21,1.3974932322469158e-15,0.09993802791035528,0.19111444908997402
Height,0,10%,6C x 6K,10%,1C x 3K,L1_22,1.2685223242196268e-15,0.12300040896528791,0.052634756767582
Height,0,10%,6C x 6K,10%,1C x 3K,L1_23,1.2706375303780012e-15,0.11970474056868936,0.0751015468219937
Height,0,10%,6C x 6K,10%,1C x 3K,L1_24,1.3202957246013132e-15,0.1347961832643284,0.10303514396869277
Height,0,10%,6C x 6K,10%,1C x 3K,L1_25,1.4190593145002595e-15,0.11497687355390591,0.08502008221880679
Height,0,10%,6C x 6K,10%,1C x 3K,L1_26,1.3757166702118202e-15,0.12189786500055577,0.018759298350075764
Height,0,10%,6C x 6K,10%,1C x 3K,L1_27,0.006500492254006801,0.1687161481304662,0.2886999083546503
Height,0,10%,6C x 6K,10%,1C x 3K,L1_28,1.3282893303786144e-15,0.15711773422808137,0.06716943668293725
Height,0,10%,6C x 6K,10%,1C x 3K,L1_29,1.3446373644162198e-15,0.12403073627613218,0.045016382206504314
Height,0,10%,6C x 6K,10%,1C x 3K,L1_3,1.3972237718669807e-15,0.11756949206791258,0.0726589379410853
Height,0,10%,6C x 6K,10%,1C x 3K,L1_30,1.4002485513679257e-15,0.12169096519458125,0.09509844940144359
Height,0,10%,6C x 6K,10%,1C x 3K,L1_31,1.3971601653395283e-15,0.09310503030137002,0.07870473618013452
Height,0,10%,6C x 6K,10%,1C x 3K,L1_32,1.387871299366831e-15,0.14604827466400117,0.17476807385548931
Height,0,10%,6C x 6K,10%,1C x 3K,L1_33,1.3663699801232573e-15,0.09910669515675827,0.10280080799077236
Height,0,10%,6C x 6K,10%,1C x 3K,L1_34,1.3524829404569042e-15,0.11419520807056781,0.09050101418033603
Height,0,10%,6C x 6K,10%,1C x 3K,L1_35,1.2886312387531499e-15,0.12471509958867581,0.2792940060159765
Height,0,10%,6C x 6K,10%,1C x 3K,L1_36,1.2714435985531717e-15,0.1179652152774549,0.2578568816264528
Height,0,10%,6C x 6K,10%,1C x 3K,L1_37,1.4403478409974468e-15,0.07783929638778067,0.0882015947617456
Height,0,10%,6C x 6K,10%,1C x 3K,L1_38,1.4095669076397143e-15,0.10784014672878574,0.12496819069415695
Height,0,10%,6C x 6K,10%,1C x 3K,L1_39,1.3356029245533327e-15,0.0771247691785,0.06295682187581401
Height,0,10%,6C x 6K,10%,1C x 3K,L1_4,1.2564648395792707e-15,0.12447597619664084,0.11024617746131438
Height,0,10%,6C x 6K,10%,1C x 3K,L1_40,1.389009277967072e-15,0.10892896865422777,0.10416726940976966
Height,0,10%,6C x 6K,10%,1C x 3K,L1_41,1.3821397730022037e-15,0.0719939342321098,0.06227234585657156
Height,0,10%,6C x 6K,10%,1C x 3K,L1_42,1.36641623941595e-15,0.09241419796155054,0.08390484265280991
Height,0,10%,6C x 6K,10%,1C x 3K,L1_43,1.3129798174619605e-15,0.12419566799579071,0.04096748080242222
Height,0,10%,6C x 6K,10%,1C x 3K,L1_44,1.4255818747699323e-15,0.11780063946955743,0.2422657321425501
Height,0,10%,6C x 6K,10%,1C x 3K,L1_45,1.3403445020543358e-15,0.09003633083489516,0.06752299274282166
Height,0,10%,6C x 6K,10%,1C x 3K,L1_46,1.3815198984801214e-15,0.08446943906790165,0.06728216480541056
Height,0,10%,6C x 6K,10%,1C x 3K,L1_47,1.3489024712024881e-15,0.07154275314340763,0.028465030462944418
Height,0,10%,6C x 6K,10%,1C x 3K,L1_48,1.272572325294874e-15,0.10399138579901884,0.06751034305727699
Height,0,10%,6C x 6K,10%,1C x 3K,L1_49,1.378728150166116e-15,0.11211519219468674,0.10116373129371882
Height,0,10%,6C x 6K,10%,1C x 3K,L1_5,1.3667030470306449e-15,0.12909415097341947,0.022911708281927862
Height,0,10%,6C x 6K,10%,1C x 3K,L1_50,1.260260414544708e-15,0.1288926812083836,0.2008792363461347
Height,0,10%,6C x 6K,10%,1C x 3K,L1_51,1.322557804013987e-15,0.1020337300366104,0.2863708428415022
Height,0,10%,6C x 6K,10%,1C x 3K,L1_52,1.3888890038060708e-15,0.12688041268848158,0.14444977302837927
Height,0,10%,6C x 6K,10%,1C x 3K,L1_53,0.0014668778946654941,0.08455370245616821,0.13272803929441201
Height,0,10%,6C x 6K,10%,1C x 3K,L1_54,1.393561192368035e-15,0.1617196789910195,0.14430040165282207
Height,0,10%,6C x 6K,10%,1C x 3K,L1_55,1.3466496436483529e-15,0.10778831442816311,0.11176354958024111
Height,0,10%,6C x 6K,10%,1C x 3K,L1_56,1.4566717334666782e-15,0.15070381152393217,0.4866937360826513
Height,0,10%,6C x 6K,10%,1C x 3K,L1_57,1.3316778235683557e-15,0.14771555375424059,0.07144695157371901
Height,0,10%,6C x 6K,10%,1C x 3K,L1_58,1.4553404777591558e-15,0.15705246750728488,0.09069125352086127
Height,0,10%,6C x 6K,10%,1C x 3K,L1_59,1.3613462209368283e-15,0.16063642684849028,0.20559699577284904
