Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,L1_id,True_L1_MAE,Meas_L1_MAE,Meas_L2_MAE
Height,0,10%,2C x 15K,10%,2C x 2K,L1_0,1.3438879638745978e-15,0.01015655305539883,7.771561172376096e-16
Height,0,10%,2C x 15K,10%,2C x 2K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,1.7486012637846216e-15
Height,0,10%,2C x 15K,10%,2C x 2K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,1.887379141862766e-15
Height,0,10%,2C x 15K,10%,1C x 3K,L1_0,1.3438879638745978e-15,0.01015655305539883,0.029037730994461552
Height,0,10%,2C x 15K,10%,1C x 3K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,8.141635513917814e-16
Height,0,10%,2C x 15K,10%,1C x 3K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,4.015306605727649e-15
Height,0,10%,2C x 15K,20%,2C x 3K,L1_0,1.3438879638745978e-15,0.01015655305539883,0.050782765276985505
Height,0,10%,2C x 15K,20%,2C x 3K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,1.3692750637043598e-15
Height,0,10%,2C x 15K,20%,2C x 3K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,2.1880645443654126e-15
Height,0,10%,2C x 15K,20%,1C x 6K,L1_0,1.3438879638745978e-15,0.01015655305539883,1.7220021704863104e-15
Height,0,10%,2C x 15K,20%,1C x 6K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,2.275957200481571e-15
Height,0,10%,2C x 15K,20%,1C x 6K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,2.229697907788856e-15
Height,0,10%,2C x 15K,30%,2C x 4K,L1_0,1.3438879638745978e-15,0.01015655305539883,0.010889149122923658
Height,0,10%,2C x 15K,30%,2C x 4K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,2.3314683517128287e-15
Height,0,10%,2C x 15K,30%,2C x 4K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,3.0878077872387166e-15
Height,0,10%,2C x 15K,30%,1C x 9K,L1_0,1.3438879638745978e-15,0.01015655305539883,0.024175933186504225
Height,0,10%,2C x 15K,30%,1C x 9K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,1.7455173109384405e-15
Height,0,10%,2C x 15K,30%,1C x 9K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,2.769389655870529e-15
Height,0,10%,2C x 15K,40%,2C x 6K,L1_0,1.3438879638745978e-15,0.01015655305539883,0.02539138263849393
Height,0,10%,2C x 15K,40%,2C x 6K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,2.1834386150961413e-15
Height,0,10%,2C x 15K,40%,2C x 6K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,2.389292467578722e-15
Height,0,10%,2C x 15K,40%,1C x 12K,L1_0,1.3438879638745978e-15,0.01015655305539883,0.007259432748616901
Height,0,10%,2C x 15K,40%,1C x 12K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,1.5681900222830336e-15
Height,0,10%,2C x 15K,40%,1C x 12K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,2.192690473634684e-15
Height,0,10%,2C x 15K,50%,2C x 7K,L1_0,1.3438879638745978e-15,0.01015655305539883,1.9032394707859826e-15
Height,0,10%,2C x 15K,50%,2C x 7K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,1.5662074811676316e-15
Height,0,10%,2C x 15K,50%,2C x 7K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,2.186742850288478e-15
Height,0,10%,2C x 15K,50%,1C x 15K,L1_0,1.3438879638745978e-15,0.01015655305539883,0.014505559911903424
Height,0,10%,2C x 15K,50%,1C x 15K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,1.6542323066914833e-15
Height,0,10%,2C x 15K,50%,1C x 15K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,2.3462713253744974e-15
Height,0,10%,2C x 15K,60%,2C x 9K,L1_0,1.3438879638745978e-15,0.01015655305539883,0.016927588425663352
Height,0,10%,2C x 15K,60%,2C x 9K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,1.7856086979387933e-15
Height,0,10%,2C x 15K,60%,2C x 9K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,2.1711028037114174e-15
Height,0,10%,2C x 15K,60%,1C x 15K,L1_0,1.3438879638745978e-15,0.01015655305539883,0.005807546198894231
Height,0,10%,2C x 15K,60%,1C x 15K,L1_1,1.291392918526905e-15,2.2241467926657305e-15,2.1168252336186318e-15
Height,0,10%,2C x 15K,60%,1C x 15K,L1_2,1.3024488894804638e-15,1.9761969838327787e-15,2.4591439995447216e-15
