Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,L1_id,True_L1_MAE,Meas_L1_MAE,Meas_L2_MAE
Height,0,10%,6C x 6K,10%,3C x 1K,L1_0,1.4204748488566565e-15,2.148744145576605e-15,5.643633708511212e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_1,0.005703212742875557,1.6093897048374828e-15,3.6267285471088444e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_10,1.3345933154903142e-15,1.6707314544185515e-15,2.6460315420232896e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_11,0.0061784103308519115,2.260537436250666e-15,1.924386576016938e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_12,1.4339825623229293e-15,2.194425197110661e-15,3.0716170347962666e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_13,1.3267535218612162e-15,2.131975151975496e-15,7.956598343146956e-16
Height,0,10%,6C x 6K,10%,3C x 1K,L1_14,1.3809994814373283e-15,2.173415768346053e-15,1.6283271027835629e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_15,1.2435052987314066e-15,0.005119175055009818,3.774758283725532e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_16,1.390868901533319e-15,1.8226161320929655e-15,2.4980018054066022e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_17,1.3881459639171942e-15,1.884674659776955e-15,1.672273430841642e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_18,1.3100631690576848e-15,1.809509332496696e-15,2.021531090671639e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_19,1.3595629252035242e-15,1.7137863273570314e-15,1.3322676295501878e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_2,0.0027795931634664118,0.008853148598218421,2.55351295663786e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_20,1.3558853114344535e-15,1.807822795783941e-15,2.6645352591003757e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_21,1.3091703647087153e-15,1.846516766650868e-15,1.1842378929335002e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_22,1.2058964937722295e-15,2.151828098422786e-15,1.1842378929335002e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_23,1.410686382522878e-15,2.0953532119270967e-15,2.1094237467877974e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_24,0.00319361913236514,0.007036048231943358,3.7342814026194065e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_25,1.3198701391085403e-15,1.6853802304379112e-15,1.1102230246251565e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_26,1.3542951482481413e-15,0.018477348163512868,2.1834386150961413e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_27,1.270876922217686e-15,1.8115331765520025e-15,2.0724163126336257e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_28,1.315757687988158e-15,2.017676149613913e-15,1.4062824978585316e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_29,1.3481947040242896e-15,1.8253145908333736e-15,2.55351295663786e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_3,1.3286385880384444e-15,1.6900061597071826e-15,1.0732155904709846e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_30,1.3192502645864579e-15,1.959081045536474e-15,1.7023419710919068e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_31,1.2968653928524531e-15,1.802570438592789e-15,2.525757381022231e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_32,1.218760046587756e-15,1.5149797889956062e-15,1.7763568394002505e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_33,1.3216673126296522e-15,1.6699604662070062e-15,1.2027416100105863e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_34,1.312181844663011e-15,1.650685760918375e-15,2.1279274638648835e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_35,1.2990904648309728e-15,2.123277441214001e-15,1.4802973661668755e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_36,1.2683927982000872e-15,1.89971495324749e-15,1.3322676295501878e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_37,1.2814668307973657e-15,1.6142927079952784e-15,1.8133642735544222e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_38,1.3966883205540625e-15,1.676513866005141e-15,2.4887499468680594e-15
Height,0,10%,6C x 6K,10%,3C x 1K,L1_39,1.2810493406808139e-15,2.1063397939416163e-15,1.1102230246251565e-15
