L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V3_MAE_Acc,Scenario
20%,5,15,5C x 15K,20%,5,3,5C x 3K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,20%,3,5,3C x 5K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,20%,2,7,2C x 7K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,20%,1,11,1C x 11K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,20%,1,13,1C x 13K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,20%,1,15,1C x 15K,0.0,0.0,Custom_Simulation
20%,5,15,5C x 15K,40%,5,6,5C x 6K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,40%,4,8,4C x 8K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,40%,3,10,3C x 10K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,40%,3,11,3C x 11K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,40%,2,13,2C x 13K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,40%,2,15,2C x 15K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,60%,5,9,5C x 9K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,60%,4,10,4C x 10K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,60%,4,11,4C x 11K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,60%,3,13,3C x 13K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,60%,3,14,3C x 14K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,60%,3,15,3C x 15K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,80%,5,12,5C x 12K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,80%,5,13,5C x 13K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,80%,4,14,4C x 14K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,80%,4,15,4C x 15K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,80%,4,15,4C x 15K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,80%,4,15,4C x 15K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,100%,5,15,5C x 15K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,100%,5,15,5C x 15K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,100%,5,15,5C x 15K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,100%,5,15,5C x 15K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,100%,5,15,5C x 15K,0.0,100.0,Custom_Simulation
20%,5,15,5C x 15K,100%,5,15,5C x 15K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,20%,3,5,3C x 5K,0.0,0.0,Custom_Simulation
20%,3,26,3C x 26K,20%,2,7,2C x 7K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,20%,2,9,2C x 9K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,20%,1,11,1C x 11K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,20%,1,13,1C x 13K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,20%,1,15,1C x 15K,0.0,0.0,Custom_Simulation
20%,3,26,3C x 26K,40%,3,10,3C x 10K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,40%,2,13,2C x 13K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,40%,2,16,2C x 16K,0.0,0.0,Custom_Simulation
20%,3,26,3C x 26K,40%,2,20,2C x 20K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,40%,1,23,1C x 23K,0.0,0.0,Custom_Simulation
20%,3,26,3C x 26K,40%,1,26,1C x 26K,0.0,0.0,Custom_Simulation
20%,3,26,3C x 26K,60%,3,15,3C x 15K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,60%,3,17,3C x 17K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,60%,2,19,2C x 19K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,60%,2,22,2C x 22K,0.0,0.0,Custom_Simulation
20%,3,26,3C x 26K,60%,2,24,2C x 24K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,60%,2,26,2C x 26K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,80%,3,20,3C x 20K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,80%,3,21,3C x 21K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,80%,3,22,3C x 22K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,80%,3,24,3C x 24K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,80%,2,25,2C x 25K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,80%,2,26,2C x 26K,0.0,0.0,Custom_Simulation
20%,3,26,3C x 26K,100%,3,26,3C x 26K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,100%,3,26,3C x 26K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,100%,3,26,3C x 26K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,100%,3,26,3C x 26K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,100%,3,26,3C x 26K,0.0,100.0,Custom_Simulation
20%,3,26,3C x 26K,100%,3,26,3C x 26K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,20%,2,7,2C x 7K,0.0,0.0,Custom_Simulation
20%,2,37,2C x 37K,20%,2,8,2C x 8K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,20%,1,10,1C x 10K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,20%,1,11,1C x 11K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,20%,1,13,1C x 13K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,20%,1,14,1C x 14K,0.0,0.0,Custom_Simulation
20%,2,37,2C x 37K,40%,2,14,2C x 14K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,40%,2,17,2C x 17K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,40%,2,19,2C x 19K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,40%,1,24,1C x 24K,0.0,0.0,Custom_Simulation
20%,2,37,2C x 37K,40%,1,26,1C x 26K,0.0,0.0,Custom_Simulation
20%,2,37,2C x 37K,40%,1,29,1C x 29K,0.0,0.0,Custom_Simulation
20%,2,37,2C x 37K,60%,2,22,2C x 22K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,60%,2,25,2C x 25K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,60%,2,27,2C x 27K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,60%,1,32,1C x 32K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,60%,1,34,1C x 34K,0.0,0.0,Custom_Simulation
20%,2,37,2C x 37K,60%,1,37,1C x 37K,0.0,0.0,Custom_Simulation
20%,2,37,2C x 37K,80%,2,29,2C x 29K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,80%,2,31,2C x 31K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,80%,2,32,2C x 32K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,80%,2,34,2C x 34K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,80%,2,35,2C x 35K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,80%,2,37,2C x 37K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,100%,2,37,2C x 37K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,100%,2,37,2C x 37K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,100%,2,37,2C x 37K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,100%,2,37,2C x 37K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,100%,2,37,2C x 37K,0.0,100.0,Custom_Simulation
20%,2,37,2C x 37K,100%,2,37,2C x 37K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,0.0,Custom_Simulation
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
