Indicator,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V2_MAE_Acc,V3_MAE_Acc,Scenario
Height,10%,5,7,5C x 7K,10%,3,1,3C x 1K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,10%,2,2,2C x 2K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,10%,1,3,1C x 3K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,10%,1,3,1C x 3K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,10%,1,3,1C x 3K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,10%,1,3,1C x 3K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,20%,4,2,4C x 2K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,20%,2,3,2C x 3K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,20%,2,4,2C x 4K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,20%,1,5,1C x 5K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,20%,1,6,1C x 6K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,20%,1,7,1C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,30%,5,2,5C x 2K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,30%,3,3,3C x 3K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,30%,2,4,2C x 4K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,30%,2,5,2C x 5K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,30%,2,6,2C x 6K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,30%,1,7,1C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,40%,5,3,5C x 3K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,40%,4,4,4C x 4K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,40%,3,5,3C x 5K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,40%,2,6,2C x 6K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,40%,2,7,2C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,40%,2,7,2C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,50%,4,4,4C x 4K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,50%,3,5,3C x 5K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,50%,3,6,3C x 6K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,50%,2,7,2C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,50%,2,7,2C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,50%,2,7,2C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,60%,5,4,5C x 4K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,60%,4,5,4C x 5K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,60%,4,6,4C x 6K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,60%,3,7,3C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,60%,3,7,3C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,60%,3,7,3C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,70%,5,5,5C x 5K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,70%,4,6,4C x 6K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,70%,3,7,3C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,70%,3,7,3C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,70%,3,7,3C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,70%,3,7,3C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,80%,5,6,5C x 6K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,80%,4,7,4C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,80%,4,7,4C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,80%,4,7,4C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,80%,4,7,4C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,80%,4,7,4C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,90%,5,6,5C x 6K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,90%,4,7,4C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,90%,4,7,4C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,90%,4,7,4C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,90%,4,7,4C x 7K,100.0,22.857142857142858,0.0,Custom_Simulation
Height,10%,5,7,5C x 7K,90%,4,7,4C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,100%,5,7,5C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,100%,5,7,5C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,100%,5,7,5C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,100%,5,7,5C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,100%,5,7,5C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,5,7,5C x 7K,100%,5,7,5C x 7K,100.0,22.857142857142858,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,10%,3,1,3C x 1K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,10%,2,2,2C x 2K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,10%,1,3,1C x 3K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,10%,1,3,1C x 3K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,10%,1,3,1C x 3K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,10%,1,3,1C x 3K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,20%,2,3,2C x 3K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,20%,2,4,2C x 4K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,20%,1,5,1C x 5K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,20%,1,6,1C x 6K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,20%,1,7,1C x 7K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,20%,1,7,1C x 7K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,30%,3,3,3C x 3K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,30%,2,4,2C x 4K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,30%,2,6,2C x 6K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,30%,1,7,1C x 7K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,30%,1,9,1C x 9K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,30%,1,10,1C x 10K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,40%,3,5,3C x 5K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,40%,2,6,2C x 6K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,40%,2,8,2C x 8K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,40%,2,9,2C x 9K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,40%,1,11,1C x 11K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,40%,1,12,1C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,50%,3,6,3C x 6K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,50%,3,7,3C x 7K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,50%,2,8,2C x 8K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,50%,2,10,2C x 10K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,50%,2,11,2C x 11K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,50%,2,12,2C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,60%,3,7,3C x 7K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,60%,3,8,3C x 8K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,60%,2,9,2C x 9K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,60%,2,10,2C x 10K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,60%,2,11,2C x 11K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,60%,2,12,2C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,70%,3,8,3C x 8K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,70%,3,9,3C x 9K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,70%,2,10,2C x 10K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,70%,2,11,2C x 11K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,70%,2,12,2C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,70%,2,12,2C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,80%,3,9,3C x 9K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,80%,3,10,3C x 10K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,80%,3,11,3C x 11K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,80%,2,12,2C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,80%,2,12,2C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,80%,2,12,2C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,90%,3,10,3C x 10K,100.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,3,12,3C x 12K,90%,3,11,3C x 11K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,90%,3,12,3C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,90%,3,12,3C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,90%,3,12,3C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,90%,3,12,3C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,100%,3,12,3C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,100%,3,12,3C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,100%,3,12,3C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,100%,3,12,3C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,100%,3,12,3C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,3,12,3C x 12K,100%,3,12,3C x 12K,100.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,2,18,2C x 18K,10%,2,2,2C x 2K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,10%,1,3,1C x 3K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,10%,1,3,1C x 3K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,10%,1,3,1C x 3K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,10%,1,3,1C x 3K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,10%,1,3,1C x 3K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,20%,2,3,2C x 3K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,20%,2,4,2C x 4K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,20%,1,5,1C x 5K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,20%,1,6,1C x 6K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,20%,1,7,1C x 7K,0.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,2,18,2C x 18K,20%,1,7,1C x 7K,0.0,5.714285714285714,0.0,Custom_Simulation
Height,10%,2,18,2C x 18K,30%,2,5,2C x 5K,0.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,2,18,2C x 18K,30%,2,6,2C x 6K,0.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,2,18,2C x 18K,30%,1,7,1C x 7K,0.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,2,18,2C x 18K,30%,1,8,1C x 8K,0.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,2,18,2C x 18K,30%,1,9,1C x 9K,0.0,5.714285714285714,100.0,Custom_Simulation
Height,10%,2,18,2C x 18K,30%,1,10,1C x 10K,0.0,5.714285714285714,100.0,Custom_Simulation
