Task_ID,Timestamp_Step1_Gen,Universe_Data_File,Timestamp_Step2_Calc,n_simulations_used,L1_Scorecard_File,L0_Scorecard_File,Timestamp_Step3_Eval,Final_Results_File,n_L1s,n_L0s_per_L1,n_children_per_L0,real_percent_stunting,real_percent_underweight,rho,sd_across_units_percent_under_reporting_stunting,sd_across_units_percent_under_reporting_underweight,sd_within_units_percent_under_reporting_stunting,sd_within_units_percent_under_reporting_underweight,sd_across_units_bunch_factor_haz,sd_across_units_bunch_factor_waz,sd_across_units_bunch_factor_whz,sd_within_units_bunch_factor_haz,sd_within_units_bunch_factor_waz,sd_within_units_bunch_factor_whz,sd_percent_copy,sd_collusion_index,mean_time_lag_L1,mean_time_lag_L2,mean_percent_under_reporting_stunting,mean_percent_under_reporting_underweight,mean_percent_under_reporting_wasting,mean_bunch_factor_haz,mean_bunch_factor_waz,mean_bunch_factor_whz,mean_percent_copy,mean_collusion_index,error_sd_height_all_L0s,error_sd_weight_all_L0s,Base_Scenario,L1_Summary_File,L0_Summary_File
Good_L0_Good_L1,25-05-2026 21:50,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\child_data_Good_L0_Good_L1.parquet,Pending,Pending,Pending,Pending,Pending,Pending,334,25,15,35.0,33.0,0.7,2.0,2.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.02,15,30,5.0,5.0,5.0,0.05,0.05,0.05,5.0,0.05,0.0,0.0,,,
Good_L0_Bad_L1,25-05-2026 22:27,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\child_data_Good_L0_Bad_L1.parquet,Pending,Pending,Pending,Pending,Pending,Pending,334,25,15,35.0,33.0,0.7,2.0,2.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.02,15,30,5.0,5.0,5.0,0.05,0.05,0.05,75.0,0.3,0.0,0.0,,,
Bad_L0_Good_L1,25-05-2026 23:06,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\child_data_Bad_L0_Good_L1.parquet,Pending,Pending,Pending,Pending,Pending,Pending,334,25,15,35.0,33.0,0.7,2.0,2.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.02,15,30,30.0,30.0,30.0,0.5,0.5,0.5,5.0,0.05,0.0,0.0,,,
Bad_L0_Bad_L1,25-05-2026 23:43,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\child_data_Bad_L0_Bad_L1.parquet,Pending,Pending,Pending,Pending,Pending,Pending,334,25,15,35.0,33.0,0.7,2.0,2.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.02,15,30,30.0,30.0,30.0,0.5,0.5,0.5,40.0,0.5,0.0,0.0,,,
Good_L0_Good_L1_20260526_061348,26-05-2026 06:13,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\child_data_Good_L0_Good_L1_20260526_061348.parquet,26-05-2026 06:26,1,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L1_Good_L0_Good_L1_20260526_061348.csv,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L0_Good_L0_Good_L1_20260526_061348.csv,Pending,Pending,3,25,15,35.0,33.0,0.7,2.0,2.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.02,15,30,5.0,5.0,5.0,0.05,0.05,0.05,5.0,0.05,0.0,0.0,Good_L0_Good_L1,,
Good_L0_Bad_L1_20260526_061356,26-05-2026 06:14,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\child_data_Good_L0_Bad_L1_20260526_061356.parquet,26-05-2026 06:26,1,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L1_Good_L0_Bad_L1_20260526_061356.csv,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L0_Good_L0_Bad_L1_20260526_061356.csv,Pending,Pending,3,25,15,35.0,33.0,0.7,2.0,2.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.02,15,30,5.0,5.0,5.0,0.05,0.05,0.05,75.0,0.3,0.0,0.0,Good_L0_Bad_L1,,
Bad_L0_Good_L1_20260526_061404,26-05-2026 06:14,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\child_data_Bad_L0_Good_L1_20260526_061404.parquet,26-05-2026 06:26,1,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L1_Bad_L0_Good_L1_20260526_061404.csv,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L0_Bad_L0_Good_L1_20260526_061404.csv,Pending,Pending,3,25,15,35.0,33.0,0.7,2.0,2.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.02,15,30,30.0,30.0,30.0,0.5,0.5,0.5,5.0,0.05,0.0,0.0,Bad_L0_Good_L1,,
Bad_L0_Bad_L1_20260526_061412,26-05-2026 06:14,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\child_data_Bad_L0_Bad_L1_20260526_061412.parquet,26-05-2026 06:26,1,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L1_Bad_L0_Bad_L1_20260526_061412.csv,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L0_Bad_L0_Bad_L1_20260526_061412.csv,Pending,Pending,3,25,15,35.0,33.0,0.7,2.0,2.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.02,15,30,30.0,30.0,30.0,0.5,0.5,0.5,40.0,0.5,0.0,0.0,Bad_L0_Bad_L1,,
Good_L0_Good_L1_20260526_062039,26-05-2026 06:20,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\child_data_Good_L0_Good_L1_20260526_062039.parquet,26-05-2026 06:26,1,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L1_Good_L0_Good_L1_20260526_062039.csv,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L0_Good_L0_Good_L1_20260526_062039.csv,Pending,Pending,3,25,15,35.0,33.0,0.7,2.0,2.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.02,15,30,5.0,5.0,5.0,0.05,0.05,0.05,5.0,0.05,0.0,0.0,Good_L0_Good_L1,,
Good_L0_Bad_L1_20260526_062048,26-05-2026 06:20,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\child_data_Good_L0_Bad_L1_20260526_062048.parquet,26-05-2026 06:26,1,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L1_Good_L0_Bad_L1_20260526_062048.csv,C:\Users\CEGIS\Documents\GitHub\discsim\may18_validata_id_dashboard\outputs\Precalculated_Presets\result_L0_Good_L0_Bad_L1_20260526_062048.csv,Pending,Pending,3,25,15,35.0,33.0,0.7,2.0,2.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.02,15,30,5.0,5.0,5.0,0.05,0.05,0.05,75.0,0.3,0.0,0.0,Good_L0_Bad_L1,,
